,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,ng4j.csv,jmule.csv
fritzing.csv,0.74,0.61,0.74,0.62,0.84,0.03,0.5,0.0
jlinalg.csv,0.9,0.34,0.59,0.58,0.76,0.03,0.41,0.62
jmule.csv,0.72,0.6,0.71,0.73,0.9,0.03,0.65,0.82
knowledge.csv,0.87,0.58,0.63,0.57,0.91,0.02,0.38,0.6
massiv.csv,0.21,0.41,0.44,0.0,0.0,0.32,0.18,0.28
ng4j.csv,0.31,0.15,0.63,0.41,0.47,0.05,0.49,0.65
playerstage.csv,0.74,0.52,0.69,0.69,0.84,0.02,0.58,0.0
superwaba.csv,0.68,0.7,0.68,0.57,0.78,0.02,0.46,0.59
