,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.56,0.5,0.17,0.65,0.25,1.0,0.0,0.44,0.55,0.43,0.59,0.0,0.0,0.29,0.58
continuum-ide.csv,0.13,0.0,0.03,0.0,0.08,0.33,0.0,0.03,0.04,0.0,0.12,0.0,0.0,0.05,0.37
fleet-simulator.csv,0.62,0.83,0.61,0.9,0.64,0.93,0.71,0.87,0.97,0.71,0.98,0.67,0.0,1.0,0.84
hydrate.csv,0.05,0.0,0.15,0.15,0.13,0.17,0.09,0.51,0.17,0.21,0.44,0.0,0.0,0.19,0.05
ivef-sdk.csv,0.79,0.33,0.53,0.7,0.7,0.0,0.69,0.18,0.73,0.14,0.05,1.0,1.0,0.48,0.16
jmri.csv,0.54,0.33,0.0,0.2,0.32,0.37,0.43,0.59,0.32,0.29,0.66,0.17,0.62,0.71,0.37
kdenlive.csv,0.0,0.33,0.45,0.85,0.34,0.93,0.43,0.64,0.6,0.64,0.63,0.33,0.0,0.57,0.74
mia.csv,0.08,0.33,0.29,0.2,0.43,0.07,0.37,0.05,0.0,0.57,0.03,0.0,1.0,0.48,0.21
ontopia.csv,0.54,0.58,0.87,0.9,0.79,0.83,0.03,0.82,0.98,0.07,0.27,0.67,0.75,0.62,0.26
opentibia.csv,0.82,0.0,0.72,1.0,0.89,0.23,0.94,0.79,0.86,0.93,0.85,0.83,1.0,1.0,0.95
runuomondains.csv,0.03,0.08,0.04,0.2,0.0,0.07,0.0,0.03,0.02,0.07,0.0,0.33,0.0,0.0,0.05
somap.csv,1.0,0.92,0.87,1.0,0.91,1.0,0.89,0.97,0.99,1.0,0.63,0.0,0.25,0.57,0.74
taverna.csv,0.31,0.08,0.39,0.2,0.0,0.07,0.09,0.1,0.4,0.57,0.25,0.83,0.0,0.33,0.0
tigermud.csv,0.92,0.67,0.75,0.9,0.85,0.4,0.77,1.0,0.85,0.79,0.86,0.67,0.5,0.05,0.79
x-ray-mule.csv,0.31,0.0,0.28,0.0,0.4,0.0,0.37,0.03,0.03,0.07,0.02,0.17,0.5,0.14,0.11
