,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv
adaptagrams.csv,0.33,0.28,0.5,0.5,0.55
aime.csv,0.71,0.68,0.87,1.0,0.45
badtrinitycore.csv,1.0,0.97,0.57,0.26,0.76
electric-core.csv,0.67,0.51,0.44,0.49,0.71
olsrd.csv,0.75,0.3,0.57,0.54,0.68
