,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.3,0.12,0.17,0.27,0.4,0.23,0.22,0.41,0.59,0.93,0.33,0.5
ctrlr.csv,0.15,0.0,0.08,0.13,0.15,0.0,0.95,0.3,0.13,0.24,0.0,0.21
dvt.csv,0.38,0.08,0.69,0.98,0.23,0.11,0.37,0.08,0.59,0.16,0.09,0.46
flylinkdc.csv,0.99,0.12,0.29,0.3,0.33,0.24,0.27,0.5,0.24,0.19,0.31,0.26
free-evolution.csv,0.42,0.16,0.67,0.42,0.36,0.18,0.2,0.48,0.01,0.22,0.94,0.44
fw4spl.csv,0.19,0.0,0.72,0.21,0.42,0.93,0.53,0.19,0.85,0.21,0.41,0.44
ipfire-wall.csv,0.21,0.21,0.36,0.25,0.0,0.17,0.22,0.94,0.01,0.12,0.13,0.34
ldview.csv,0.39,0.19,0.45,0.26,0.95,0.12,0.17,0.47,0.15,0.0,0.26,0.3
nuttx.csv,0.43,0.14,0.99,0.37,0.34,0.28,0.05,0.43,0.93,0.26,0.31,0.56
uclmda.csv,0.25,0.08,0.46,0.0,0.58,0.16,0.57,0.19,1.0,0.24,0.25,0.36
vdsf.csv,0.4,0.81,0.33,0.45,0.53,0.21,0.39,0.51,0.94,0.24,0.34,0.55
xcf.csv,0.47,0.16,0.85,0.45,0.58,0.32,0.4,0.37,0.87,0.3,0.35,1.0
