,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.31,0.45,0.12,0.28,0.37,0.27,0.22,0.38,0.48,0.9,0.31,0.39
ctrlr.csv,0.13,0.0,0.05,0.09,0.12,0.0,0.92,0.26,0.09,0.29,0.0,0.15
dvt.csv,0.45,0.31,0.56,0.98,0.22,0.12,0.55,0.07,0.47,0.25,0.07,0.42
flylinkdc.csv,1.0,0.18,0.2,0.33,0.28,0.46,0.4,0.54,0.15,0.29,0.37,0.19
free-evolution.csv,0.54,0.0,0.49,0.32,0.28,0.31,0.22,0.57,0.01,0.25,0.97,0.38
fw4spl.csv,0.27,0.0,0.59,0.29,0.47,0.93,0.76,0.24,0.45,0.5,0.55,0.41
ipfire-wall.csv,0.17,0.54,0.26,0.25,0.0,0.22,0.22,0.91,0.01,0.1,0.11,0.26
ldview.csv,0.54,0.17,0.34,0.37,0.99,0.24,0.12,0.48,0.1,0.0,0.39,0.28
nuttx.csv,0.58,0.09,0.99,0.44,0.37,0.64,0.06,0.54,0.86,0.58,0.48,0.53
uclmda.csv,0.28,0.06,0.36,0.0,0.69,0.18,0.65,0.24,1.0,0.45,0.25,0.29
vdsf.csv,0.54,0.9,0.25,0.61,0.54,0.49,0.13,0.3,0.49,0.44,0.49,0.48
xcf.csv,0.65,0.09,0.2,0.57,0.69,0.66,0.58,0.48,0.46,0.68,0.53,1.0
