,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.19,0.66,0.15,0.23,0.19,0.11,0.2,0.14,0.0,0.0,0.12,0.03
ctrlr.csv,0.11,0.0,0.0,0.02,0.11,0.0,0.0,0.14,0.17,0.13,0.04,0.07
dvt.csv,0.27,0.52,0.54,0.01,0.27,0.11,0.61,0.14,0.17,0.22,0.09,0.27
flylinkdc.csv,0.01,0.12,0.13,0.26,0.11,0.3,0.51,0.24,0.33,0.23,0.26,0.07
free-evolution.csv,0.77,1.0,0.69,0.91,0.05,0.25,0.25,0.38,0.5,0.11,0.03,0.23
fw4spl.csv,0.51,0.0,0.54,0.53,0.76,0.01,0.54,0.57,0.83,0.68,0.3,0.37
ipfire-wall.csv,0.06,0.32,0.33,0.22,0.03,0.15,0.19,0.0,0.33,0.06,0.08,0.07
ldview.csv,0.45,0.03,0.18,0.59,0.05,0.35,0.02,0.22,0.0,0.06,0.44,0.47
nuttx.csv,0.4,0.98,0.03,0.32,0.35,0.46,0.31,0.51,0.17,0.53,0.5,0.3
uclmda.csv,0.26,0.03,0.15,0.04,0.49,0.1,0.2,0.57,0.0,0.34,0.14,0.13
vdsf.csv,0.75,0.03,0.23,0.64,0.78,0.45,0.97,0.92,0.83,0.85,0.79,0.77
xcf.csv,0.67,0.98,0.95,0.41,0.49,0.38,0.53,0.59,0.83,0.57,0.44,0.0
