,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.43,0.83,0.98,0.4,0.38,0.33,0.38,0.28,0.21,0.83,0.3,0.34
ctrlr.csv,0.03,0.0,0.02,0.0,0.1,0.06,0.76,0.06,0.82,0.08,0.03,0.06
dvt.csv,0.22,0.35,0.21,0.98,0.24,0.19,0.14,0.28,0.26,0.17,0.21,0.72
flylinkdc.csv,0.97,0.15,0.04,0.29,0.43,0.4,0.29,0.5,0.21,0.46,0.48,0.12
free-evolution.csv,0.27,0.81,0.7,0.43,0.24,0.35,0.19,0.17,0.45,0.29,0.76,0.09
fw4spl.csv,0.14,0.07,0.14,0.19,0.57,0.92,0.33,0.33,0.12,0.29,0.15,0.22
ipfire-wall.csv,0.22,0.27,0.15,0.24,0.0,0.27,0.19,0.94,0.67,0.04,0.09,0.09
ldview.csv,0.68,0.39,0.27,0.48,0.9,0.44,0.14,0.39,0.15,0.12,0.24,0.16
nuttx.csv,0.84,0.79,1.0,0.74,0.33,0.9,0.0,0.44,1.0,0.5,0.55,0.84
uclmda.csv,0.76,0.0,0.61,0.31,0.86,0.81,0.81,0.89,1.0,0.75,0.7,0.38
vdsf.csv,0.86,0.87,0.94,0.81,1.0,0.83,1.0,0.83,0.99,1.0,0.94,0.88
xcf.csv,0.84,0.55,0.83,0.57,0.52,0.77,0.43,0.83,0.53,0.67,0.67,0.97
