,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.33,0.08,0.82,0.23,0.31,0.23,0.4,0.38,0.97,1.0,0.28,0.85
ctrlr.csv,0.06,0.0,0.6,0.0,0.12,0.43,1.0,0.11,1.0,0.08,0.2,0.4
dvt.csv,0.32,0.12,0.85,1.0,0.42,0.07,0.11,0.45,0.96,0.2,0.35,0.48
flylinkdc.csv,0.97,0.18,1.0,0.38,0.53,0.22,0.26,0.47,0.97,0.22,0.31,0.67
free-evolution.csv,0.29,0.09,0.86,0.29,0.28,0.18,0.44,0.27,0.97,0.37,0.96,0.75
fw4spl.csv,0.2,0.27,0.89,0.15,0.38,1.0,0.19,0.25,0.86,0.28,0.5,0.78
ipfire-wall.csv,0.42,0.13,0.77,0.32,0.0,0.13,0.22,1.0,1.0,0.08,0.19,1.0
ldview.csv,0.4,0.11,0.83,0.26,0.95,0.22,0.3,0.41,0.96,0.14,0.19,0.83
nuttx.csv,0.29,0.08,0.99,0.38,0.58,0.13,0.0,0.32,0.97,0.12,0.26,0.61
uclmda.csv,0.26,0.0,0.88,0.41,0.35,0.13,0.36,0.33,1.0,0.16,0.25,0.57
vdsf.csv,0.27,0.95,0.82,0.3,0.36,0.12,0.26,0.29,0.97,0.14,0.23,0.48
xcf.csv,0.36,0.13,0.82,0.36,0.39,0.16,0.26,0.44,0.96,0.19,0.29,1.0
