,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.51,0.48,0.48,0.79,0.33,0.74,0.94,0.99,0.72,0.25,0.77,0.26,0.76,0.28,0.75,0.02
chipster.csv,0.38,0.36,0.96,0.65,0.36,0.59,0.69,0.54,0.63,0.27,0.36,0.32,0.42,0.2,0.63,0.0
delphilhlplib.csv,0.44,0.75,0.36,0.98,0.41,0.62,0.46,0.56,0.52,0.23,0.51,0.5,0.78,0.32,0.36,0.0
emite.csv,0.29,0.55,0.49,0.83,0.41,0.62,0.32,0.49,0.56,0.17,0.71,1.0,0.41,0.29,0.47,0.03
hydrate.csv,0.24,0.28,0.31,0.38,0.18,0.34,0.36,0.31,0.6,0.11,0.22,0.06,0.06,0.28,1.0,0.05
ivataopenportal.csv,0.54,0.82,0.59,0.8,0.97,0.66,0.85,0.85,0.56,0.33,0.71,0.63,0.71,0.53,0.7,0.0
jppf-project.csv,0.52,0.86,0.53,0.73,0.59,0.76,1.0,0.78,0.63,0.27,0.69,0.63,0.62,0.48,0.78,0.02
kolmafia.csv,0.41,0.57,0.49,0.65,0.54,0.63,0.88,0.71,0.97,0.33,0.45,0.23,0.45,0.54,0.66,0.03
l2j.csv,0.48,0.71,0.6,0.79,0.6,0.73,0.89,0.74,0.67,0.31,0.61,0.47,0.99,0.43,0.79,0.03
mb-unit.csv,0.44,0.99,0.49,0.48,0.69,0.61,0.7,0.74,0.48,0.26,0.44,0.23,0.74,0.55,0.66,0.02
opde.csv,0.92,0.62,0.46,0.85,0.26,0.51,0.46,0.69,0.63,0.35,0.51,0.53,0.55,0.42,0.71,0.03
pamguard.csv,0.36,0.56,0.4,0.49,0.46,0.97,0.69,0.6,0.54,0.4,0.56,0.53,0.7,0.21,0.37,0.0
quark.csv,0.07,0.07,0.17,0.31,0.02,0.13,0.0,0.02,0.04,0.96,0.11,0.14,0.07,0.16,0.17,0.0
stajistics.csv,0.29,0.33,0.4,0.74,0.27,0.49,0.57,0.55,0.44,0.08,0.51,0.29,0.47,0.95,0.69,0.0
tigermud.csv,0.37,0.5,0.38,0.43,0.6,0.58,0.76,0.54,0.67,0.26,0.9,0.41,0.45,0.39,0.68,0.03
