,fritzing.csv,arianne.csv,xuggle.csv,emeraldemu.csv,yield.csv,rsyslog.csv,planeshift.csv,grafx2.csv,wow-qrsk.csv,bacnet.csv,gnupdate.csv,alsa.csv,ardour.csv,multitude.csv,salasaga.csv,keyczar.csv,xmoto.csv,cortex-vfx.csv,gstreamer.csv,linux-ntfs.csv
alsa.csv,0.43,0.53,0.59,0.38,0.54,0.55,0.49,0.43,0.44,0.36,0.54,0.49,0.39,0.47,0.54,0.67,0.49,0.42,0.46,0.37
ardour.csv,0.39,0.43,0.82,0.48,0.86,0.57,0.34,0.32,0.56,0.55,0.76,0.47,0.38,0.54,0.39,0.67,0.35,0.4,0.44,0.31
arianne.csv,0.52,0.48,0.49,0.37,0.46,0.52,0.37,0.53,0.42,0.39,0.46,0.38,0.37,0.46,0.54,0.91,0.45,0.44,0.39,0.4
bacnet.csv,0.45,0.67,0.58,0.5,0.48,0.8,0.4,0.36,0.61,0.55,0.5,0.69,0.38,0.68,0.45,0.8,0.63,0.41,0.33,0.4
cortex-vfx.csv,0.47,0.59,0.69,0.48,0.86,0.53,0.77,0.55,0.64,0.42,0.92,0.97,0.45,0.61,0.41,0.45,0.45,0.71,0.59,0.4
emeraldemu.csv,0.48,0.54,0.65,0.53,0.89,0.0,0.83,0.0,0.64,0.67,0.0,0.67,0.5,0.53,0.51,0.0,0.55,0.53,0.93,0.39
fritzing.csv,0.47,0.71,0.65,0.5,0.51,0.54,0.46,0.4,0.73,0.52,0.86,0.6,0.39,0.59,0.57,0.0,0.59,0.98,0.45,0.4
gnupdate.csv,0.5,0.58,0.59,0.47,0.46,0.73,0.56,0.65,0.47,0.71,0.69,0.6,0.43,0.68,0.53,0.54,0.57,0.47,0.98,0.44
grafx2.csv,0.46,0.46,0.71,0.5,0.91,0.56,0.41,0.34,0.56,0.47,0.89,0.47,0.41,0.45,0.45,0.79,0.45,0.72,0.45,0.41
gstreamer.csv,0.46,0.51,0.5,0.41,0.45,0.44,0.35,0.59,0.43,0.53,0.41,0.4,0.38,0.45,0.41,0.48,0.49,0.44,0.41,0.38
keyczar.csv,0.9,0.97,0.8,0.99,0.97,0.93,0.86,0.96,0.77,0.88,0.63,0.65,0.9,0.94,0.0,0.48,0.95,0.0,0.98,0.67
linux-ntfs.csv,0.52,0.43,0.52,0.45,0.46,0.4,0.33,0.33,0.43,0.38,0.56,0.47,0.38,0.43,0.94,0.38,0.43,0.56,0.32,0.38
multitude.csv,0.43,0.4,0.52,0.4,0.44,0.57,0.38,0.39,0.41,0.43,0.43,0.37,0.36,0.46,0.43,0.45,0.46,0.42,0.5,0.4
planeshift.csv,0.43,0.42,0.47,0.41,0.42,0.51,0.41,0.35,0.43,0.36,0.46,0.38,0.36,0.39,0.53,0.44,0.46,0.42,0.35,0.4
rsyslog.csv,0.41,0.44,0.52,0.37,0.49,0.48,0.35,0.33,0.46,0.92,0.68,0.45,0.38,0.4,0.4,0.62,0.4,0.43,0.39,0.39
salasaga.csv,0.45,0.65,0.52,0.43,0.41,0.67,0.34,0.4,0.51,0.52,0.4,0.56,0.35,0.68,0.38,0.78,0.49,0.42,0.36,0.36
wow-qrsk.csv,0.93,0.47,0.51,0.57,0.9,0.5,0.96,0.64,0.59,0.53,0.88,0.96,0.92,0.91,0.51,0.0,0.75,0.46,0.83,0.39
xmoto.csv,0.64,0.63,0.52,0.49,0.45,0.48,0.44,0.35,0.59,0.7,0.42,0.47,0.4,0.42,0.5,0.42,0.49,0.68,0.38,0.39
xuggle.csv,0.45,0.39,0.61,0.48,0.53,0.43,0.36,0.39,0.58,0.41,0.39,0.38,0.4,0.45,0.4,0.58,0.54,0.54,0.35,0.38
yield.csv,0.44,0.41,0.51,0.36,0.47,0.47,0.34,0.36,0.42,0.38,0.44,0.36,0.37,0.36,0.43,0.38,0.4,0.42,0.35,0.32
