,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv
jparsec.csv,0.43,0.58,0.62,0.18,0.99
minig.csv,0.17,0.49,0.95,0.1,0.37
ossbuild.csv,0.2,0.64,0.4,0.97,0.23
rezilla.csv,0.92,0.58,0.54,0.1,0.49
webdriver.csv,0.16,0.99,0.45,0.21,0.35
