,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.8,0.84,0.47,0.33,0.27,0.41,0.52,0.14,0.35,0.36,0.26
badtrinitycore.csv,0.0,0.03,0.37,0.5,0.15,0.0,0.07,0.18,0.2,0.46,0.3
boost.csv,0.68,0.72,0.36,0.21,0.25,0.0,0.26,0.25,0.61,0.56,0.52
electric-core.csv,0.72,0.74,0.49,0.29,0.28,0.54,0.36,0.22,0.5,0.67,0.6
java-gnome.csv,0.19,0.81,0.14,0.06,0.37,0.87,0.4,0.13,0.35,0.4,0.31
miranda-icq.csv,0.73,0.86,0.42,0.18,0.23,0.09,0.47,0.35,0.46,0.67,0.42
ofbiz.csv,0.72,0.85,0.3,0.18,0.19,0.4,0.4,0.25,0.54,0.76,0.64
olsrd.csv,0.73,0.83,0.35,0.28,0.28,0.24,0.4,0.24,0.57,0.77,0.63
opensim4opencog.csv,0.73,0.78,0.44,0.32,0.31,0.26,0.39,0.23,0.44,0.67,0.47
t-2.csv,0.54,0.71,0.27,0.22,0.14,0.2,0.34,0.43,0.4,0.66,0.65
xcf.csv,0.68,0.79,0.45,0.29,0.15,0.54,0.45,0.23,0.48,0.6,0.76
