,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.85,0.75,0.58,0.57,0.52,0.28,0.52,0.23,0.28,0.23,0.16
badtrinitycore.csv,0.0,0.01,0.44,0.81,0.22,0.0,0.04,0.2,0.13,0.32,0.19
boost.csv,0.96,0.59,0.78,0.57,0.61,0.0,0.27,0.87,0.68,0.46,0.53
electric-core.csv,0.92,0.68,0.62,0.64,0.65,0.39,0.54,0.66,0.6,0.71,0.69
java-gnome.csv,0.12,0.85,0.1,0.04,0.39,0.79,0.94,0.09,0.24,0.28,0.19
miranda-icq.csv,0.85,0.99,0.64,0.45,0.96,0.05,0.6,0.57,0.46,0.67,0.34
ofbiz.csv,0.88,0.96,0.69,0.66,0.61,0.28,0.9,0.84,0.84,0.74,0.59
olsrd.csv,1.0,0.75,0.67,0.85,0.96,0.16,0.73,0.83,0.73,0.8,0.72
opensim4opencog.csv,0.92,0.69,0.71,0.89,0.57,0.18,0.58,0.58,0.4,0.59,0.31
t-2.csv,0.5,0.68,0.4,0.62,0.35,0.12,0.69,0.62,0.53,0.55,0.78
xcf.csv,0.88,0.69,0.66,0.66,0.3,0.39,0.65,0.96,0.44,0.5,0.81
