,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.82,0.78,0.61,0.6,0.55,0.32,0.56,0.27,0.32,0.27,0.19
badtrinitycore.csv,0.0,0.01,0.48,0.81,0.26,0.0,0.05,0.24,0.16,0.37,0.23
boost.csv,0.3,0.63,0.6,0.55,0.59,0.0,0.31,0.64,0.68,0.48,0.52
electric-core.csv,0.64,0.63,0.64,0.64,0.63,0.44,0.53,0.59,0.58,0.47,0.59
java-gnome.csv,0.15,0.44,0.12,0.05,0.44,0.81,0.21,0.11,0.28,0.32,0.23
miranda-icq.csv,0.75,0.0,0.64,0.46,0.4,0.06,0.61,0.6,0.49,0.57,0.38
ofbiz.csv,0.7,0.0,0.45,0.5,0.52,0.31,0.35,0.63,0.57,0.7,0.61
olsrd.csv,0.57,0.76,0.6,0.72,0.69,0.19,0.58,0.6,0.67,0.67,0.62
opensim4opencog.csv,0.68,0.69,0.68,0.78,0.59,0.2,0.57,0.56,0.44,0.6,0.36
t-2.csv,0.52,0.51,0.42,0.58,0.37,0.14,0.42,0.65,0.48,0.58,0.61
xcf.csv,0.54,0.71,0.66,0.65,0.33,0.44,0.63,0.42,0.48,0.53,0.78
