,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,vars-redux.csv,httpcontentparser.csv,tart.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,xbg.csv,gdis.csv,loki-lib.csv,xqilla.csv,biopax.csv,exl.csv,crux-framework.csv
avifile.csv,0.57,0.33,1.0,0.0,0.41,1.0,0.27,0.41,0.11,0.02,0.23,0.11,0.42,0.2,0.82,0.38,0.0,0.85,0.62,0.05
baadengine.csv,0.93,0.06,0.95,0.01,0.28,0.31,0.26,0.49,0.12,0.06,0.21,0.12,0.43,0.22,0.81,0.39,0.03,0.82,0.8,0.04
biopax.csv,0.75,0.07,0.98,0.01,0.3,0.33,0.25,0.42,0.12,0.06,0.13,0.12,0.44,0.14,0.87,0.53,0.02,1.0,0.79,0.03
crux-framework.csv,0.78,0.0,0.96,0.03,0.41,0.5,0.35,0.41,0.0,0.1,0.29,0.15,0.41,0.0,0.84,0.47,0.0,0.62,0.88,0.2
dataobjectsdotnet.csv,0.71,0.05,0.97,0.03,0.33,0.47,0.31,0.46,0.14,0.07,0.13,0.12,0.56,0.4,0.0,0.45,0.04,0.94,0.8,0.04
exl.csv,0.85,0.07,0.97,0.01,0.33,0.71,0.27,0.42,0.16,0.09,0.09,0.12,0.44,0.09,0.67,0.43,0.07,0.8,1.0,0.03
gdis.csv,0.83,0.04,0.99,0.0,0.32,0.35,0.24,0.41,0.12,0.06,0.16,0.11,0.49,0.16,1.0,0.45,0.0,0.88,0.84,0.03
gogoego.csv,0.83,0.0,0.94,0.02,0.26,0.47,0.36,0.55,0.14,0.06,0.19,0.09,0.59,0.17,0.91,0.75,0.06,0.96,0.96,0.01
httpcontentparser.csv,0.67,0.03,0.98,0.0,0.12,1.0,0.28,0.46,0.28,0.08,0.14,0.13,0.42,0.4,0.0,0.48,0.04,0.88,0.86,0.04
impala.csv,0.67,0.08,0.98,0.02,0.29,0.26,0.21,0.33,0.12,0.05,0.14,0.24,0.4,0.1,0.78,0.42,0.02,0.75,0.79,0.03
jgameai.csv,0.78,0.22,1.0,0.0,0.45,0.15,0.2,0.42,0.02,0.0,0.5,0.14,0.2,0.0,0.69,0.5,0.0,0.75,0.67,0.0
loki-lib.csv,0.95,0.09,0.98,0.01,0.38,0.32,0.26,0.33,0.13,0.05,0.19,0.15,0.37,0.18,0.86,0.66,0.04,0.79,0.75,0.03
snakeyaml.csv,0.66,0.0,0.95,0.07,0.16,0.43,0.3,0.64,0.18,0.1,0.33,0.1,0.43,0.17,0.89,0.0,0.04,1.0,0.93,0.02
tart.csv,0.68,0.05,0.96,0.04,0.36,0.38,0.26,0.47,0.23,0.21,0.16,0.1,0.54,0.11,0.78,0.5,0.03,0.88,0.81,0.01
vars-redux.csv,0.72,0.05,0.94,0.02,0.24,0.36,0.28,0.6,0.15,0.07,0.16,0.12,0.48,0.27,0.96,0.5,0.04,1.0,0.97,0.02
werx.csv,0.75,0.08,1.0,0.01,0.29,0.31,0.23,0.41,0.1,0.05,0.13,0.12,0.43,0.13,0.81,0.39,0.02,0.75,0.73,0.03
xbg.csv,0.78,0.06,1.0,0.0,0.0,0.27,0.26,0.67,0.05,0.0,0.09,0.15,0.44,0.32,0.69,0.29,0.0,0.69,0.46,0.0
xqilla.csv,0.78,0.0,0.97,0.05,0.26,0.17,0.27,0.41,0.23,0.08,0.15,0.1,0.43,0.0,0.67,0.29,0.33,0.58,1.0,0.02
zealos.csv,0.87,0.11,1.0,0.0,0.56,0.49,0.27,0.4,0.25,0.0,0.0,0.0,0.36,0.0,0.88,0.25,0.0,0.0,1.0,0.02
