,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.69,0.57,0.65,0.53,0.64,0.45,0.6,0.09,0.76,0.35,0.61,0.45,0.65,0.68,0.76,0.54,0.62
enzo.csv,0.4,0.78,0.65,0.58,0.69,0.25,0.63,0.0,0.93,0.32,0.57,0.26,0.86,0.92,0.62,0.36,0.57
hydrogen.csv,0.55,0.17,0.26,0.22,0.09,0.52,0.41,0.0,0.08,0.29,0.08,0.0,0.22,0.09,0.41,0.52,0.13
keyczar.csv,0.4,0.81,0.65,0.56,0.75,0.24,0.63,0.38,0.89,0.32,0.57,0.26,0.92,0.91,0.62,0.35,0.57
lphant.csv,0.4,0.81,0.64,0.06,0.75,0.47,0.58,0.38,0.89,0.17,0.88,0.0,0.0,0.91,0.62,0.35,0.0
lsb.csv,0.78,0.7,0.66,0.56,0.58,0.25,0.64,0.0,0.88,0.32,0.57,0.25,0.86,0.66,0.65,0.39,0.56
maya-work-in-progress.csv,0.38,0.81,0.66,0.83,0.75,0.34,0.64,0.38,0.89,0.38,0.61,0.36,0.45,0.91,0.62,0.35,0.56
mcore3d.csv,0.24,0.8,0.66,0.6,0.6,0.24,0.64,0.0,0.9,0.32,0.57,0.31,0.86,0.45,0.62,0.53,0.6
mscore.csv,0.27,0.78,0.72,0.76,0.78,0.31,0.69,0.41,0.75,0.34,0.59,0.33,0.74,0.92,0.6,0.49,0.61
natpad.csv,0.34,0.75,0.61,0.33,0.72,0.28,0.63,0.38,0.87,0.35,0.6,0.37,0.58,0.9,0.62,0.36,0.69
rocrail.csv,0.34,0.29,0.68,0.58,0.0,0.24,0.63,0.0,0.57,0.32,0.58,0.26,0.86,0.13,0.67,0.68,0.57
salasaga.csv,0.08,0.03,0.26,0.4,0.0,0.28,0.45,0.0,0.0,0.39,0.0,0.24,0.44,0.0,0.0,0.0,0.56
virtuoso.csv,0.41,0.81,0.64,0.58,0.77,0.24,0.64,0.0,0.89,0.32,0.57,0.26,0.86,0.91,0.64,0.38,0.57
xemeiah.csv,0.4,0.12,0.51,0.63,0.0,0.42,0.73,0.0,0.22,0.38,0.62,0.41,0.44,0.01,0.38,0.44,0.66
xined.csv,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xtreemfs.csv,0.41,0.77,0.66,0.58,0.63,0.24,0.63,0.0,0.67,0.33,0.58,0.26,0.86,0.93,0.68,0.48,0.61
yield.csv,0.2,0.66,0.78,0.66,0.28,0.33,0.71,0.0,0.88,0.34,0.6,0.32,0.8,0.28,0.69,0.59,0.59
