,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.47,0.61,0.51,0.63,0.51,0.42,0.52,0.95,0.43,0.58,0.55,0.46,0.55,0.73,0.31,0.41,0.48
enzo.csv,1.0,0.87,0.99,1.0,0.87,0.98,0.99,1.0,0.36,1.0,1.0,1.0,1.0,0.87,1.0,0.99,1.0
hydrogen.csv,0.62,0.91,0.84,0.88,0.95,0.56,0.72,1.0,0.96,0.72,0.96,1.0,0.88,0.95,0.72,0.43,0.93
keyczar.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89,1.0,1.0,0.34,1.0,1.0,1.0,1.0
lphant.csv,1.0,1.0,0.94,0.97,1.0,0.46,0.54,1.0,1.0,0.9,0.15,1.0,1.0,1.0,1.0,1.0,1.0
lsb.csv,0.29,0.62,0.62,1.0,0.57,0.97,0.95,1.0,0.42,0.98,1.0,1.0,1.0,0.69,0.76,0.88,1.0
maya-work-in-progress.csv,0.99,1.0,0.94,0.22,1.0,0.54,0.8,1.0,1.0,0.55,0.79,0.51,0.72,1.0,1.0,1.0,0.53
mcore3d.csv,0.85,0.68,0.8,0.85,0.55,0.93,0.89,1.0,0.72,0.98,1.0,0.75,1.0,0.97,0.86,0.43,0.76
mscore.csv,0.93,0.75,0.53,0.29,0.37,0.7,0.68,0.81,0.53,0.88,0.62,0.6,0.49,0.61,0.6,0.54,0.68
natpad.csv,1.02,0.96,0.91,0.78,0.89,0.62,0.62,1.0,1.0,0.58,0.49,0.49,0.62,0.79,0.86,0.96,0.39
rocrail.csv,0.72,0.83,0.85,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.97,1.0,1.0,0.93,0.45,0.33,1.0
salasaga.csv,0.96,0.98,0.84,0.72,1.0,0.66,0.68,1.0,1.0,0.53,1.0,0.86,0.72,1.0,1.0,1.0,0.57
virtuoso.csv,0.96,0.93,0.96,1.0,0.7,1.0,0.99,1.0,0.8,1.0,1.0,1.0,1.0,0.98,0.93,0.91,1.0
xemeiah.csv,0.69,0.93,0.64,0.5,1.0,0.38,0.35,1.0,0.88,0.68,0.48,0.43,0.76,1.0,0.75,0.68,0.52
xined.csv,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xtreemfs.csv,0.88,0.65,0.94,1.0,0.52,1.0,0.96,1.0,0.55,0.95,0.91,1.0,1.0,0.48,0.69,0.6,0.88
yield.csv,0.89,0.53,0.29,0.62,0.83,0.61,0.58,1.0,0.8,0.91,0.68,0.57,0.64,0.95,0.42,0.32,0.64
