,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.01,0.23,0.41,0.02,0.25,0.18,0.31,0.0,0.24,0.42,0.03,0.17,0.27,0.59,0.19,0.4,0.38
enzo.csv,1.0,0.86,0.99,1.0,0.86,0.98,0.99,0.0,0.36,1.0,1.0,1.0,1.0,0.87,1.0,0.99,1.0
hydrogen.csv,0.0,0.11,0.04,0.02,0.0,0.04,0.09,0.0,0.0,0.19,0.03,0.01,0.07,0.03,0.13,0.22,0.0
keyczar.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0,1.0,0.33,1.0,1.0,1.0,1.0
lphant.csv,1.0,1.0,0.94,0.0,1.0,0.13,0.32,1.0,1.0,0.02,0.06,0.01,0.0,1.0,1.0,1.0,0.0
lsb.csv,0.04,0.53,0.59,1.0,0.15,0.97,0.95,0.0,0.4,0.98,1.0,1.0,1.0,0.51,0.76,0.88,1.0
maya-work-in-progress.csv,0.99,1.0,0.94,0.11,1.0,0.53,0.79,1.0,1.0,0.47,0.79,0.28,0.2,1.0,1.0,1.0,0.25
mcore3d.csv,0.04,0.67,0.79,0.85,0.13,0.93,0.88,0.0,0.72,0.98,1.0,0.75,1.0,0.7,0.85,0.42,0.75
mscore.csv,0.82,0.74,0.51,0.15,0.29,0.7,0.68,0.81,0.4,0.88,0.58,0.59,0.33,0.61,0.52,0.54,0.67
natpad.csv,1.0,0.95,0.9,0.06,0.88,0.53,0.58,1.0,1.0,0.42,0.33,0.33,0.27,0.79,0.85,0.96,0.12
rocrail.csv,0.13,0.04,0.85,1.0,0.0,1.0,1.0,0.0,0.12,1.0,0.97,1.0,1.0,0.0,0.33,0.09,1.0
salasaga.csv,0.04,0.02,0.07,0.09,0.0,0.21,0.26,0.0,0.04,0.44,0.0,0.01,0.13,0.02,0.0,0.0,0.09
virtuoso.csv,0.96,0.93,0.96,1.0,0.69,1.0,0.99,0.0,0.8,1.0,1.0,1.0,1.0,0.98,0.93,0.91,1.0
xemeiah.csv,0.08,0.0,0.07,0.06,0.0,0.33,0.23,0.0,0.08,0.67,0.15,0.32,0.33,0.0,0.06,0.04,0.5
xined.csv,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xtreemfs.csv,0.88,0.61,0.94,1.0,0.19,1.0,0.96,0.0,0.32,0.95,0.91,1.0,1.0,0.48,0.69,0.6,0.88
yield.csv,0.0,0.32,0.15,0.62,0.04,0.61,0.58,0.0,0.8,0.91,0.67,0.49,0.6,0.48,0.31,0.29,0.61
