,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.37,0.33,0.01,0.72,0.44,0.37,0.46,0.29,0.83,0.6,0.47,0.42,0.76,0.65,0.56
autowikibrowser.csv,0.43,0.2,0.29,0.3,0.44,0.26,0.73,0.15,0.08,0.04,0.49,0.39,0.0,0.34,0.53
biodwh.csv,0.24,0.07,0.22,0.06,0.44,0.1,0.0,0.63,0.17,0.04,0.07,0.1,0.02,0.0,0.02
cities3d.csv,0.24,0.87,0.88,0.0,0.11,0.03,0.03,0.89,0.0,0.0,0.16,0.18,0.13,0.59,0.3
dynalloy.csv,0.27,0.0,0.3,0.45,0.78,0.51,0.41,0.12,0.38,0.4,0.74,0.58,0.52,0.14,0.56
enzo.csv,0.76,0.59,0.82,0.91,0.89,0.58,0.7,0.23,0.92,0.04,0.63,0.79,0.76,0.61,0.66
genecys.csv,0.9,0.77,0.95,0.88,0.11,0.76,0.95,0.92,0.5,0.32,0.95,0.85,0.7,0.85,0.98
kmatplot.csv,0.0,0.31,0.15,0.25,0.44,0.29,0.32,0.19,0.42,0.44,0.09,0.2,0.3,0.23,0.31
modplug.csv,0.72,0.57,0.35,0.64,0.89,0.81,0.93,0.27,0.0,0.36,0.81,0.68,0.65,0.55,0.66
nabu-library.csv,0.9,0.46,0.51,0.51,0.78,0.9,0.29,0.0,0.71,0.28,0.77,0.52,0.74,0.63,0.48
natpad.csv,0.28,0.22,0.28,0.22,0.89,0.49,0.32,0.19,0.58,0.72,0.42,0.21,0.28,0.41,0.02
nebuladevice.csv,0.19,0.12,0.19,0.07,0.11,0.09,0.15,0.18,0.08,0.0,0.21,0.0,0.26,0.17,0.25
ossbuild.csv,0.08,0.09,0.12,0.22,0.11,0.08,0.0,0.66,0.0,0.68,0.14,0.04,0.2,0.14,0.03
xemeiah.csv,0.24,0.32,0.33,0.25,0.44,0.01,0.23,0.18,0.25,0.28,0.3,0.27,0.19,0.39,0.23
xined.csv,0.13,0.4,0.45,0.11,0.11,0.04,0.35,0.77,0.04,0.04,0.0,0.08,0.17,0.37,0.53
