,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.66,0.63,0.63,0.43,0.62,0.63,0.51,0.48,0.53,0.52,0.61,0.51,0.4,0.43,0.44
autowikibrowser.csv,0.46,0.78,0.48,0.53,0.32,0.5,0.37,0.55,0.47,0.94,0.37,0.49,0.48,0.46,0.44
biodwh.csv,0.64,0.94,0.68,0.97,0.42,0.69,0.0,0.98,0.5,0.66,0.8,0.89,0.86,0.91,0.5
cities3d.csv,0.6,0.47,0.5,0.97,0.53,0.9,0.83,0.64,0.83,0.0,0.89,0.94,0.89,0.58,0.97
dynalloy.csv,0.6,0.73,0.7,0.63,0.5,0.55,0.64,0.84,0.65,0.49,0.41,0.47,0.46,0.88,0.48
enzo.csv,0.4,0.51,0.44,0.32,0.42,0.48,0.46,0.57,0.41,0.39,0.44,0.33,0.39,0.45,0.49
genecys.csv,0.38,0.37,0.42,0.31,0.44,0.43,0.39,0.53,0.42,0.39,0.38,0.36,0.39,0.31,0.43
kmatplot.csv,0.86,0.8,0.9,0.88,0.36,0.77,0.55,0.61,0.53,0.65,0.88,0.79,0.77,0.74,0.41
modplug.csv,0.44,0.46,0.62,0.39,0.44,0.45,0.4,0.42,0.43,0.38,0.36,0.39,0.36,0.35,0.38
nabu-library.csv,0.4,0.5,0.47,0.49,0.52,0.45,0.99,0.59,0.48,0.45,0.42,0.5,0.52,0.46,0.89
natpad.csv,0.67,0.72,0.69,0.68,0.45,0.6,0.67,0.68,0.51,0.67,0.5,0.77,0.68,0.47,0.56
nebuladevice.csv,0.82,0.95,0.91,0.98,0.6,0.94,0.97,0.95,0.93,0.9,0.91,0.92,0.92,0.93,0.64
ossbuild.csv,0.94,0.94,1.0,0.87,0.59,0.96,0.97,0.99,0.86,0.97,0.9,0.67,0.7,0.9,0.88
xemeiah.csv,0.52,0.65,0.53,0.6,0.33,0.59,0.7,0.55,0.58,0.62,0.39,0.56,0.53,0.44,0.41
xined.csv,0.82,0.88,0.65,0.98,0.73,0.92,0.83,0.82,0.92,0.86,0.89,0.88,0.93,0.72,0.69
