,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.61,0.65,0.63,0.77,0.61,0.71,0.05,0.66,0.87,0.61
gamestone.csv,0.92,0.0,0.73,0.89,0.89,0.94,0.8,0.85,0.81,0.88
gbif-providertoolkit.csv,0.94,1.0,0.82,0.97,0.07,0.92,1.0,0.8,0.8,0.96
heekscad.csv,0.0,0.84,0.53,0.59,0.48,0.77,0.74,0.65,0.73,0.57
igarden.csv,0.6,0.69,0.79,0.1,0.94,0.7,0.81,0.81,0.83,0.74
levent.csv,0.39,0.77,0.61,0.59,0.4,0.02,0.72,0.64,0.84,0.66
owlapi.csv,0.82,1.0,0.91,1.0,0.94,0.96,0.85,0.08,0.75,0.96
pnotepad.csv,0.73,0.67,0.72,0.99,0.91,0.71,0.76,0.86,0.82,0.1
quark.csv,0.99,1.0,1.0,1.0,0.86,1.0,1.0,1.0,0.0,1.0
xcsoar.csv,0.48,0.67,0.04,0.68,0.47,0.46,0.69,0.54,0.77,0.69
