,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.8,0.25,0.49,0.27,0.22,0.83,0.97,0.18,0.14,0.95
gamestone.csv,0.86,1.0,0.62,0.25,0.11,0.75,0.5,0.24,0.19,1.0
gbif-providertoolkit.csv,0.83,0.0,0.83,1.0,1.0,1.0,0.0,0.36,0.2,1.0
heekscad.csv,1.0,0.09,0.56,0.38,0.28,0.8,0.42,0.19,0.23,0.89
igarden.csv,0.89,0.17,0.63,1.0,0.11,0.72,0.38,0.25,0.18,0.88
levent.csv,0.88,0.17,0.55,0.43,0.34,1.0,0.33,0.2,0.14,0.9
owlapi.csv,0.82,0.0,0.62,0.0,0.08,0.67,0.46,1.0,0.21,1.0
pnotepad.csv,0.67,0.17,0.49,0.3,0.17,0.73,0.38,0.16,0.21,0.98
quark.csv,1.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,1.0,0.0
xcsoar.csv,0.8,0.19,1.0,0.35,0.29,0.82,0.35,0.28,0.25,1.0
