,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,bigdata.csv,wsmt.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.71,0.97,0.78,0.41,0.48,0.42,0.83,0.45,0.68,0.87,0.72,0.56,0.58,0.74,0.25,0.67,0.91,1.0,0.68,0.84
apertium.csv,0.45,0.48,0.24,0.28,0.34,0.25,0.34,0.32,0.48,0.51,1.0,0.19,0.31,0.57,0.18,0.38,0.43,0.05,0.18,0.68
beast-mcmc.csv,0.95,0.45,0.31,0.46,0.31,0.39,0.33,0.64,0.52,0.24,0.76,0.38,0.61,0.43,0.07,0.34,0.2,0.46,0.32,0.74
bigdata.csv,0.41,0.18,0.35,0.67,0.95,0.89,0.42,0.55,0.48,1.0,0.04,0.62,0.46,0.4,0.79,1.0,0.06,0.59,0.91,0.32
cuberok.csv,0.44,0.36,0.37,0.38,0.44,0.58,0.37,1.0,0.68,0.24,0.4,0.38,0.38,0.49,0.29,0.47,0.51,0.27,0.32,0.68
exist.csv,0.59,0.67,0.45,0.69,0.48,0.33,0.57,0.59,0.68,0.57,0.24,0.44,0.99,0.72,0.39,0.43,0.17,0.34,0.23,0.53
icescrum.csv,0.59,0.67,0.53,0.54,0.72,0.22,0.64,0.59,0.64,0.33,0.28,0.25,0.46,0.57,0.18,0.59,0.2,0.29,0.27,1.0
jbasic.csv,0.38,0.36,0.43,0.41,0.42,0.14,0.37,0.45,0.2,0.98,0.28,0.12,0.3,0.3,0.18,0.37,0.11,0.17,0.05,0.53
jgnash.csv,0.17,0.27,0.16,0.21,0.12,0.19,0.18,0.14,0.84,0.19,0.12,0.06,0.16,0.23,0.07,0.17,0.14,0.22,0.18,0.47
jrefactory.csv,0.47,0.42,0.98,0.59,0.55,0.78,0.44,0.32,0.48,0.46,0.88,0.44,0.26,0.68,0.54,0.4,0.26,0.22,0.45,0.84
jsecurity.csv,0.45,0.45,0.2,0.97,0.2,0.44,0.38,0.64,0.48,0.16,0.2,0.5,0.21,0.4,0.61,0.35,0.11,0.29,0.36,0.63
libopenmetaverse.csv,0.76,0.82,0.88,0.9,0.84,0.97,0.84,0.64,0.88,0.9,0.6,0.62,0.75,0.94,0.71,0.82,0.57,0.76,0.5,0.53
mobicents.csv,0.44,0.42,0.41,0.49,0.5,0.42,0.98,0.23,0.28,0.43,0.48,0.5,0.48,0.68,0.32,0.44,0.31,0.46,0.27,0.58
mp-rechnungs-und-kundenverwaltung.csv,0.48,0.18,0.2,0.33,0.17,0.5,0.5,0.32,0.16,0.11,0.32,0.31,0.31,0.91,0.43,0.42,0.14,0.15,0.36,0.37
opendvr.csv,0.61,0.24,0.55,0.28,0.34,0.78,0.58,0.5,0.56,0.49,0.32,0.38,0.71,0.72,0.75,0.64,0.23,0.54,0.91,0.63
openefm.csv,0.52,0.88,0.45,0.31,0.38,0.53,0.42,0.23,0.52,0.32,0.32,0.25,0.47,0.66,0.25,0.42,0.49,0.32,0.14,0.63
sidekar.csv,0.79,0.39,0.47,0.59,1.0,0.64,0.72,0.5,0.64,0.29,0.68,0.38,0.67,0.68,0.61,0.65,0.31,0.49,0.36,0.74
wheat.csv,0.42,0.3,0.12,0.26,0.36,0.19,0.25,0.41,0.36,0.03,0.12,0.5,0.22,0.32,1.0,0.31,0.26,0.59,0.59,0.16
wsmt.csv,0.11,0.06,0.1,0.05,0.02,0.11,0.06,0.0,0.08,0.1,0.12,0.0,0.01,0.02,0.07,0.05,0.94,0.07,0.0,0.05
yarp0.csv,0.55,0.36,0.31,0.64,0.39,0.47,0.44,0.41,0.56,0.41,0.52,0.94,0.38,0.6,0.25,0.42,0.46,0.34,0.32,0.47
