,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,kowari.csv,xreal.csv
agilitybook.csv,2.0,13.0,490.0,3.0,0.0,6.0,16.0,183.0
apolloplayer.csv,42.0,1.0,148.0,9.0,0.0,28.0,0.0,13.0
k3d.csv,5.0,1.0,5.0,0.0,0.0,3.0,84.0,183.0
kowari.csv,3.0,3.0,490.0,7.0,0.0,8.0,0.0,16.0
redshell.csv,1.0,0.0,490.0,51.0,0.0,0.0,5.0,31.0
rtb-team.csv,1.0,0.0,490.0,0.0,0.0,5.0,10.0,1.0
xreal.csv,7.0,6.0,490.0,2.0,0.0,33.0,9.0,0.0
