,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.25,0.35,0.25,0.24,0.32,0.38,0.17,0.28,0.23,0.2,0.07
badtrinitycore.csv,0.0,0.05,0.25,0.19,0.3,0.06,0.25,0.21,0.14,0.07,0.27
boost.csv,0.88,0.15,0.76,0.55,0.47,0.12,0.3,0.67,0.35,0.42,0.53
electric-core.csv,0.75,0.7,0.26,0.42,0.43,0.25,0.51,0.69,0.49,0.85,0.53
java-gnome.csv,0.17,0.75,0.22,0.07,0.28,0.12,0.93,0.27,0.95,0.26,0.17
miranda-icq.csv,0.54,0.95,0.39,0.45,0.87,0.38,0.35,0.23,0.31,0.64,0.33
ofbiz.csv,0.83,0.95,0.78,0.69,0.67,0.62,0.82,0.63,0.72,0.36,0.33
olsrd.csv,0.79,0.15,0.29,0.28,0.3,0.38,0.57,0.52,0.19,0.49,0.2
opensim4opencog.csv,0.67,0.3,0.4,0.44,0.24,0.5,0.45,0.45,0.19,0.27,0.03
t-2.csv,0.29,0.6,0.55,0.63,0.52,0.19,0.75,0.17,0.64,0.24,0.67
xcf.csv,0.83,0.2,0.34,0.37,0.41,0.19,0.49,0.88,0.25,0.3,0.3
