,moviesandbox.csv,libtorrent.csv,sigil.csv,xbg.csv,xtreemfs.csv,crux-framework.csv
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,1.0
libtorrent.csv,0.71,1.0,0.76,0.25,0.9,0.06
moviesandbox.csv,0.95,0.47,0.7,0.12,0.81,0.04
sigil.csv,0.75,0.58,1.0,0.43,0.89,0.09
xbg.csv,0.29,0.06,0.33,1.0,0.04,0.25
xtreemfs.csv,0.67,0.58,0.73,0.32,1.0,0.09
