,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.81,0.18,0.79,0.68,0.67,0.51,1.0,0.58,0.84,0.91,0.71
gbif-providertoolkit.csv,0.99,0.97,0.93,0.67,0.45,0.76,0.7,0.57,1.04,0.88,0.8
geochat.csv,0.92,1.01,0.95,0.9,0.92,0.58,1.01,0.9,0.9,0.78,0.54
heekscad.csv,0.37,0.71,0.48,0.59,0.63,0.44,0.6,0.63,0.72,0.56,0.69
igarden.csv,0.45,0.59,0.61,0.46,0.51,0.55,0.44,0.57,0.5,0.6,0.79
jstock.csv,0.5,0.71,0.48,0.54,0.6,0.42,0.68,0.22,0.64,0.55,0.71
levent.csv,0.6,0.88,1.0,1.0,0.77,0.61,0.43,0.56,1.0,1.0,1.0
piccolo2d.csv,0.88,1.0,0.7,0.94,0.46,0.33,0.55,0.66,0.8,0.65,0.85
pnotepad.csv,0.44,0.63,0.72,0.97,0.88,0.83,0.57,0.7,0.15,0.55,0.76
trinitycore.csv,0.6,0.59,0.66,0.6,0.79,0.59,0.92,0.74,0.7,0.57,0.88
xcsoar.csv,0.4,0.77,0.37,0.62,0.51,0.68,0.74,0.71,0.71,0.58,0.71
