,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.98,0.54,0.99,0.59,0.88,0.96,0.95,0.77,0.91,0.88
flexpay.csv,0.83,0.44,0.99,0.61,0.39,0.59,0.49,0.48,0.93,0.43
jstock.csv,0.89,0.0,0.98,0.5,0.5,0.94,0.95,0.83,0.89,0.0
keyczar.csv,0.96,0.8,0.97,0.88,0.38,0.86,0.92,0.86,0.89,0.44
modellus.csv,0.45,0.63,0.46,0.48,0.42,0.48,0.57,0.53,0.55,0.51
open-data-kit.csv,0.51,0.48,0.59,0.52,0.64,0.5,0.43,0.58,0.66,0.56
phet.csv,0.97,0.88,0.69,0.75,0.95,0.92,0.77,0.57,0.79,0.75
qtractor.csv,0.55,0.5,0.71,0.67,0.65,0.5,0.8,0.89,0.9,0.78
sumatrapdf.csv,0.48,0.5,0.44,0.45,0.65,0.48,0.58,0.5,0.6,0.52
synergyspace.csv,0.83,0.5,0.97,0.9,0.94,0.56,0.57,0.9,0.92,0.0
