,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.83,0.61,0.75,0.02,0.69,0.82,0.81,0.88,0.93,0.83
flexpay.csv,0.7,0.92,0.06,0.8,0.98,0.78,0.89,0.97,0.97,0.73
jstock.csv,0.93,0.96,0.86,0.95,0.94,0.87,0.86,0.08,0.89,1.0
keyczar.csv,0.98,0.94,0.91,0.92,0.93,0.94,0.89,0.93,0.85,0.07
modellus.csv,0.8,0.68,0.65,0.6,0.56,0.03,0.75,0.46,0.78,0.69
open-data-kit.csv,0.75,0.63,0.75,0.72,0.62,0.77,0.03,0.62,0.66,0.72
phet.csv,0.04,1.04,0.76,0.83,0.95,0.87,0.86,0.54,0.95,0.68
qtractor.csv,0.93,0.0,0.73,0.61,0.59,0.57,0.79,0.78,0.89,0.84
sumatrapdf.csv,0.79,0.78,0.77,0.81,0.0,0.5,0.79,0.54,0.64,0.53
synergyspace.csv,0.74,0.93,0.91,0.98,0.72,0.72,0.79,0.95,0.04,1.0
