,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.22,0.44,0.3,1.0,0.37,0.23,0.24,0.18,0.1,0.2
flexpay.csv,0.42,0.3,0.95,0.43,0.2,0.48,0.42,0.31,0.05,0.64
jstock.csv,0.11,0.05,0.18,0.06,0.07,0.16,0.19,0.93,0.15,0.0
keyczar.csv,0.04,0.09,0.11,0.12,0.39,0.07,0.15,0.1,0.18,0.97
modellus.csv,0.4,0.53,0.54,0.51,0.73,0.98,0.37,0.64,0.35,0.54
open-data-kit.csv,0.44,0.49,0.42,0.49,0.46,0.5,0.98,0.49,0.45,0.35
phet.csv,0.97,0.13,0.41,0.32,0.12,0.24,0.34,0.66,0.18,0.39
qtractor.csv,0.17,1.0,0.34,0.47,0.47,0.53,0.25,0.27,0.15,0.2
sumatrapdf.csv,0.43,0.55,0.56,0.52,1.0,0.65,0.43,0.62,0.68,0.6
synergyspace.csv,0.39,0.09,0.11,0.06,0.33,0.56,0.52,0.1,0.97,0.0
