,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.19,0.39,0.26,1.0,0.32,0.19,0.2,0.15,0.08,0.17
flexpay.csv,0.38,0.93,0.94,0.43,0.74,0.5,0.7,0.31,0.04,0.98
jstock.csv,0.09,0.04,0.15,0.05,0.06,0.13,0.16,0.92,0.12,0.0
keyczar.csv,0.03,0.07,0.09,0.1,0.52,0.06,0.12,0.08,0.15,0.98
modellus.csv,0.38,0.54,0.54,0.48,0.87,0.97,0.33,0.62,0.31,0.56
open-data-kit.csv,0.42,0.46,0.4,0.48,0.42,0.55,0.97,0.46,0.42,0.31
phet.csv,0.96,0.11,0.39,0.29,0.1,0.21,0.32,0.69,0.15,0.35
qtractor.csv,0.14,1.0,0.3,0.43,0.42,0.49,0.21,0.23,0.12,0.17
sumatrapdf.csv,0.43,0.79,0.76,0.81,1.0,0.66,0.43,0.62,0.85,0.58
synergyspace.csv,0.36,0.07,0.09,0.05,0.29,0.65,0.61,0.08,0.96,0.0
