,ltp.csv,konversation.csv,moviesandbox.csv,sepgsql.csv,migen.csv,mcmc-jags.csv,cataclysmos.csv,ildjit.csv,opengs.csv,tcl.csv,phonon-vlc-mplayer.csv,openxava.csv,unflobtactical.csv,micomt.csv,nebuladevice.csv,passwordsafe.csv,exl.csv,crux-framework.csv
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
exl.csv,0.43,0.52,0.38,0.36,0.37,0.5,0.75,0.53,0.51,0.92,0.65,0.41,0.54,0.44,0.47,0.63,0.44,0.5
ildjit.csv,0.95,0.0,0.0,0.98,0.83,0.83,0.0,0.9,0.75,0.67,0.97,0.0,0.75,0.91,0.89,0.8,0.0,0.89
konversation.csv,0.98,0.92,0.55,0.76,0.92,0.75,0.5,0.89,0.95,0.72,0.97,0.92,0.8,0.83,0.94,0.89,0.4,0.73
ltp.csv,0.46,0.66,0.48,0.55,0.86,0.75,0.64,0.74,0.84,0.57,0.98,0.66,0.54,0.75,0.74,0.59,0.81,0.63
mcmc-jags.csv,0.47,0.44,0.38,0.75,0.38,0.86,0.58,0.47,0.43,0.67,0.66,0.48,0.39,0.84,0.48,0.61,0.39,0.37
micomt.csv,0.39,0.53,0.48,0.51,0.45,0.56,0.41,0.54,0.39,0.36,0.5,0.51,0.46,0.92,0.38,0.52,0.55,0.46
migen.csv,0.34,0.66,0.52,0.53,0.53,0.88,0.62,0.41,0.8,0.45,0.77,0.62,0.5,0.86,0.57,0.91,0.42,0.56
moviesandbox.csv,0.98,0.65,0.51,0.98,0.57,0.83,0.75,0.6,0.62,0.92,0.98,0.88,0.6,0.83,0.94,0.78,0.43,0.54
nebuladevice.csv,0.94,0.69,0.75,0.98,0.79,0.78,0.8,0.92,0.89,0.47,0.95,0.88,0.88,0.55,0.93,0.92,0.8,0.9
opengs.csv,0.35,0.87,0.36,0.41,0.5,0.86,0.89,0.46,0.64,0.91,0.95,0.41,0.5,0.75,0.59,0.91,0.33,0.48
openxava.csv,0.45,0.53,0.4,0.49,0.34,0.5,0.6,0.47,0.6,0.38,0.52,0.93,0.57,0.54,0.46,0.51,0.47,0.54
passwordsafe.csv,0.45,0.51,0.42,0.42,0.47,0.83,0.52,0.47,0.5,0.49,0.62,0.58,0.37,0.6,0.51,0.64,0.44,0.45
phonon-vlc-mplayer.csv,0.59,0.59,0.38,0.7,0.43,0.83,0.71,0.52,0.6,0.42,0.91,0.57,0.41,0.9,0.73,0.67,0.42,0.47
sepgsql.csv,0.0,0.0,0.67,0.96,0.93,0.67,0.0,0.8,0.0,0.86,0.91,0.67,0.5,0.75,0.0,0.67,0.0,0.75
tcl.csv,0.47,0.71,0.91,0.48,0.83,0.94,0.91,0.68,0.63,0.51,0.82,0.98,0.92,0.58,0.69,0.85,0.92,0.78
unflobtactical.csv,0.78,0.52,0.39,0.63,0.39,0.83,0.63,0.71,0.83,0.83,0.71,0.48,0.47,0.74,0.6,0.62,0.61,0.49
