,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.59,0.55,0.71,0.69,0.53,0.38,0.71,0.27,0.74,0.55,0.63,0.62,0.64,0.36,0.65,0.97,0.42,0.56,0.67
bzbyte.csv,0.0,0.0,0.0,0.45,0.13,0.0,0.57,0.0,0.0,0.0,0.36,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrysalis.csv,0.46,0.74,0.3,0.66,0.56,0.39,0.57,0.64,0.68,0.51,0.2,0.34,0.58,0.41,0.69,0.33,0.85,0.0,0.5
dspace-gsoc.csv,0.61,0.38,0.63,0.48,0.32,0.38,0.66,0.49,0.36,0.63,0.73,0.49,0.61,0.69,0.56,0.93,0.54,0.0,0.2
fbmanager.csv,0.66,0.54,0.7,0.56,0.13,0.39,0.68,0.0,0.05,0.25,0.56,0.67,0.0,0.69,0.62,0.28,0.38,0.9,0.09
fityk.csv,0.61,0.6,0.67,0.67,0.65,0.55,0.58,0.67,0.63,0.55,0.51,0.57,0.52,0.7,0.74,0.2,0.57,0.0,0.7
fleet-simulator.csv,0.56,0.2,0.34,0.67,0.42,0.57,0.0,0.59,0.56,0.0,0.67,0.56,0.35,0.55,0.56,0.97,0.61,0.0,0.56
freenet.csv,0.43,0.41,0.42,0.65,0.7,0.47,0.0,0.66,0.45,0.43,0.0,0.39,0.24,0.51,0.65,0.32,0.57,0.0,0.63
google-caja.csv,0.71,0.42,0.71,0.7,0.55,0.51,0.64,0.8,0.35,0.58,0.59,0.0,0.65,0.62,0.76,0.84,0.78,0.0,0.38
k3b.csv,0.7,0.2,0.0,0.7,0.64,0.0,0.59,0.27,0.27,0.67,0.21,0.55,0.57,0.55,0.59,0.0,0.05,0.0,0.52
mediaportal.csv,0.28,0.38,0.07,0.46,0.35,0.23,0.35,0.28,0.51,0.26,0.35,0.25,0.59,0.13,0.52,0.16,0.18,0.33,0.31
myfaces.csv,0.62,0.45,0.37,0.69,0.5,0.57,0.45,0.28,0.73,0.45,0.4,0.47,0.54,0.59,0.49,0.74,0.13,0.53,0.63
onotoa.csv,0.4,0.47,0.3,0.32,0.36,0.61,0.22,0.2,0.34,0.45,0.5,0.42,0.19,0.52,0.41,0.24,0.26,0.0,0.36
paintown.csv,0.72,0.53,0.62,0.24,0.6,0.54,0.0,0.0,0.17,0.56,0.63,0.59,0.63,0.66,0.32,0.0,0.17,0.0,0.05
poormans.csv,0.22,0.49,0.14,0.54,0.54,0.26,0.73,0.26,0.62,0.37,0.4,0.17,0.37,0.34,0.77,0.05,0.13,0.67,0.36
sqlpower-library.csv,0.34,0.43,0.53,0.67,0.61,0.6,0.0,0.65,0.67,0.5,0.61,0.36,0.13,0.44,0.56,0.0,0.64,0.0,0.69
triplea.csv,0.61,0.7,0.6,0.69,0.39,0.55,0.54,0.68,0.48,0.66,0.49,0.53,0.65,0.6,0.58,0.95,0.72,0.82,0.6
xamj.csv,0.17,0.55,0.13,0.64,0.09,0.52,0.46,0.27,0.73,0.39,0.36,0.0,0.21,0.49,0.55,0.59,0.6,0.49,0.71
