,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.0,0.07,0.96,0.04,0.0
k3b.csv,0.52,0.11,0.38,0.67,1.0
myfaces.csv,0.65,0.66,0.75,0.92,0.38
robocode.csv,0.96,0.64,0.54,0.62,0.53
zildo.csv,0.3,1.0,0.17,0.42,0.66
