,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.65,0.6,0.07,0.51,0.54,0.72,0.62,0.56,0.72,0.38
jmule.csv,0.74,0.65,0.27,0.71,0.7,0.7,0.61,0.61,0.69,0.84
nosleepsoftware.csv,0.24,0.23,0.71,0.0,0.13,0.06,0.0,0.19,0.01,0.48
open-ms.csv,0.76,0.65,0.64,0.19,0.26,0.51,0.64,0.55,0.6,0.58
qgo.csv,0.87,0.48,0.6,0.41,0.6,0.59,0.65,0.38,0.35,0.13
rezilla.csv,0.6,0.38,0.6,0.7,0.25,0.37,0.68,0.49,0.54,0.5
riff-evolve.csv,0.59,0.47,0.0,0.25,0.66,0.68,0.69,0.55,0.7,0.0
uwom.csv,0.6,0.12,0.07,0.59,0.6,0.38,0.06,0.62,0.81,0.55
virtuoso.csv,0.5,0.27,0.0,0.36,0.24,0.05,0.52,0.17,0.72,0.25
yield.csv,0.7,0.66,0.59,0.25,0.73,0.3,0.61,0.61,0.74,0.0
