,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.67,0.58,0.06,0.47,0.49,0.77,0.93,0.55,0.75,0.33
jmule.csv,0.83,0.69,0.25,0.84,0.89,0.74,0.62,0.84,0.97,0.83
nosleepsoftware.csv,0.2,0.2,0.69,0.0,0.11,0.05,0.0,0.16,0.01,0.46
open-ms.csv,0.83,0.81,0.62,0.16,0.22,0.47,0.62,0.53,0.62,0.79
qgo.csv,0.87,0.88,0.88,0.37,0.6,0.64,0.81,0.96,0.91,1.0
rezilla.csv,0.63,0.95,1.0,0.68,0.22,0.33,0.79,0.76,0.66,0.46
riff-evolve.csv,0.57,0.42,0.0,0.21,0.63,0.66,0.83,0.52,0.68,0.0
uwom.csv,0.63,0.1,0.06,0.58,0.57,0.34,0.05,0.69,0.83,0.5
virtuoso.csv,0.97,0.95,1.0,1.0,0.94,0.98,0.48,0.98,0.9,0.75
yield.csv,0.83,0.83,0.69,0.21,0.7,0.96,0.93,0.87,0.86,1.0
