,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.69,0.43,0.71,0.53,0.46,0.29,0.51,0.58,0.31,0.36,0.39,0.98,0.0,0.4,0.52
emulemorph.csv,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13
fceugc.csv,0.31,0.21,0.36,0.2,0.96,0.0,0.1,0.21,0.11,0.42,0.33,0.23,0.37,0.34,0.34
gnukeda.csv,0.66,1.0,0.71,0.35,0.63,0.52,0.59,0.61,0.38,0.51,0.59,0.55,0.46,0.63,0.58
gusanos.csv,0.65,0.55,0.3,0.19,0.62,0.58,0.5,1.0,0.52,0.44,0.54,0.58,0.5,0.56,0.64
micomt.csv,0.2,0.27,0.0,0.38,0.06,0.11,0.93,0.15,0.0,0.29,0.24,0.26,0.0,0.15,0.45
modplug.csv,0.72,0.58,0.73,0.6,0.52,0.0,0.54,0.67,0.57,0.98,0.7,0.73,0.68,0.69,0.46
ogre.csv,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05
openfrag.csv,0.54,0.49,0.67,0.33,0.59,0.0,0.62,0.68,0.47,0.64,0.98,0.62,0.55,0.58,0.6
oscarmcmaster.csv,0.3,0.12,0.26,0.0,0.0,0.11,0.1,0.18,0.0,0.18,0.22,0.09,0.0,0.0,0.88
pidgin.csv,0.98,0.48,0.73,0.72,0.6,0.36,0.72,0.62,0.49,0.74,0.61,0.64,0.66,0.63,0.62
repositorium.csv,0.45,0.32,0.49,0.2,0.28,0.34,0.18,0.36,0.85,0.4,0.42,0.52,0.53,0.35,0.53
unimrcp.csv,0.29,0.25,0.97,0.54,0.43,0.09,0.1,0.35,0.31,0.32,0.18,0.16,0.36,0.36,0.39
xapian.csv,0.46,0.64,0.26,0.68,0.59,0.48,0.79,0.35,0.47,0.68,0.47,0.49,0.66,1.0,0.42
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
