,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.78,0.51,0.5,0.15,0.4,0.4,0.41,0.67,0.27,0.47,0.46,0.98,0.0,0.44,0.38
emulemorph.csv,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.11
fceugc.csv,0.4,0.26,0.25,0.08,0.98,0.46,0.13,0.28,0.15,0.49,0.4,0.31,0.06,0.23,0.25
gnukeda.csv,0.75,1.0,0.49,0.06,0.5,0.63,0.31,0.69,0.14,0.64,0.65,0.69,0.04,0.4,0.34
gusanos.csv,0.75,0.58,0.44,0.03,0.49,0.71,0.27,1.0,0.18,0.58,0.57,0.62,0.04,0.34,0.38
micomt.csv,0.29,0.37,0.0,0.22,0.08,0.16,0.96,0.21,0.0,0.4,0.32,0.33,0.0,0.2,0.26
modplug.csv,0.84,0.61,0.51,0.12,0.46,0.74,0.28,0.79,0.24,0.99,0.71,0.74,0.07,0.46,0.3
ogre.csv,0.84,0.71,0.42,0.1,0.49,1.0,0.31,0.82,0.2,0.8,0.71,0.71,0.05,0.37,0.35
openfrag.csv,0.71,0.51,0.48,0.05,0.46,0.59,0.38,0.75,0.19,0.73,0.99,0.64,0.05,0.38,0.35
oscarmcmaster.csv,0.41,0.19,0.32,0.0,0.0,0.16,0.1,0.24,0.0,0.25,0.31,0.12,0.0,0.0,0.92
pidgin.csv,0.98,0.51,0.51,0.15,0.56,0.57,0.39,0.7,0.25,0.81,0.63,0.66,0.07,0.46,0.36
repositorium.csv,0.57,0.36,0.4,0.09,0.32,0.48,0.13,0.44,0.86,0.48,0.48,0.55,0.05,0.28,0.36
unimrcp.csv,0.4,0.33,0.98,0.21,0.52,0.13,0.12,0.45,0.3,0.43,0.26,0.21,0.04,0.42,0.36
xapian.csv,0.56,0.67,0.3,0.14,0.47,0.64,0.47,0.44,0.19,0.75,0.49,0.53,0.08,1.0,0.29
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
