,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.38,0.65,0.36,0.61,0.54,0.8,0.94,0.45,0.91,0.83,0.56,0.52,0.52,0.93,0.59
emulemorph.csv,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98
fceugc.csv,0.81,0.79,0.75,0.94,0.65,0.72,0.5,0.89,0.5,0.53,0.86,0.94,0.76,0.55,0.81
gnukeda.csv,0.45,0.59,0.45,0.51,0.44,0.55,0.51,0.51,0.46,0.49,0.44,0.44,0.44,0.55,0.45
gusanos.csv,0.38,0.45,0.43,0.51,0.36,0.46,0.39,0.42,0.43,0.48,0.45,0.41,0.46,0.44,0.42
micomt.csv,0.97,0.9,0.0,0.92,0.75,0.95,0.92,0.9,0.75,0.73,0.93,0.83,0.8,0.75,0.7
modplug.csv,0.35,0.43,0.38,0.36,0.45,0.42,0.37,0.38,0.39,0.43,0.43,0.4,0.35,0.47,0.54
ogre.csv,0.37,0.44,0.41,0.41,0.39,0.43,0.4,0.42,0.41,0.39,0.43,0.39,0.39,0.4,0.35
openfrag.csv,0.42,0.56,0.45,0.46,0.46,0.64,0.72,0.43,0.44,0.46,0.54,0.47,0.38,0.48,0.47
oscarmcmaster.csv,0.76,0.75,0.9,0.86,0.0,0.95,0.88,0.93,0.0,0.89,0.92,0.95,0.92,0.0,0.97
pidgin.csv,0.39,0.52,0.39,0.48,0.55,0.51,0.48,0.4,0.79,0.38,0.5,0.51,0.33,0.61,0.42
repositorium.csv,0.53,0.95,0.44,0.94,0.9,0.89,0.82,0.79,0.9,0.57,0.87,0.62,0.36,0.75,0.37
unimrcp.csv,0.79,0.89,0.65,0.68,0.9,0.93,0.75,0.64,0.89,0.73,0.91,0.94,0.39,0.92,0.81
xapian.csv,0.58,0.5,0.92,0.42,0.53,0.6,0.59,0.68,0.54,0.52,0.55,0.55,0.44,0.81,0.68
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
