,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,97.5,871.5,196.5,98.5,97.5,196.0,285.5,870.0,99.0,482.5,386.0,99.0
dsworkbench.csv,97.5,121.0,93.5,0.0,22.5,436.0,191.0,480.5,189.0,63.5,53.5,99.0
gogoego.csv,97.5,579.5,196.5,95.5,97.5,640.5,285.5,1440.5,99.0,285.5,268.5,98.5
jpaul.csv,97.5,676.5,95.5,98.5,94.5,141.5,83.5,0.0,277.5,83.5,85.5,0.0
loki-lib.csv,97.5,873.0,92.5,98.5,97.5,187.0,93.5,69.0,99.0,272.5,261.5,99.0
motu.csv,97.5,1071.0,197.5,98.5,97.5,612.5,188.0,518.0,99.0,285.5,189.0,87.5
mp-rechnungs-und-kundenverwaltung.csv,97.5,581.0,94.5,98.5,12.5,123.0,83.5,657.0,96.5,91.5,268.5,94.5
rtrt-on-gpu.csv,97.5,874.0,98.5,95.5,97.5,97.5,188.0,116.5,99.0,386.0,93.5,99.0
scenemonitor.csv,97.5,583.0,95.5,95.5,94.5,187.0,285.5,1247.5,98.5,477.5,0.0,92.5
xstore.csv,97.5,1267.0,196.5,98.5,97.5,285.5,285.5,1584.5,98.5,285.5,189.0,99.0
yarp0.csv,97.5,971.5,197.5,500.0,252.5,97.5,599.0,1506.5,99.0,186.0,386.0,99.0
zemljanka.csv,97.5,1267.0,197.5,98.5,97.5,196.0,285.5,780.5,99.0,580.0,259.5,99.0
