,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.52,0.59,0.55,0.55,0.38,0.62,0.34,0.63,0.51,0.48,0.48,0.52,0.97,0.24,0.56
bl-toolkit.csv,0.3,0.47,0.54,0.32,0.46,0.99,0.41,0.42,0.34,0.34,0.49,0.66,0.57,0.12,0.3
bochs.csv,0.36,0.59,0.6,0.51,0.93,0.49,0.33,0.66,0.41,0.39,0.48,0.56,0.69,0.07,0.54
emeraldemu.csv,0.48,0.42,0.45,0.97,0.42,0.27,0.52,0.42,0.44,0.42,0.35,0.6,0.65,0.14,0.5
fbmanager.csv,1.0,0.57,0.51,0.48,0.55,0.53,0.34,0.64,0.37,0.4,0.47,0.4,0.63,0.11,0.35
modellus.csv,0.3,0.54,0.4,0.3,0.39,0.21,0.51,0.36,0.39,0.4,0.37,0.98,0.68,0.08,0.48
openmalaria.csv,0.65,0.72,0.62,0.53,0.63,0.65,0.56,0.77,0.41,0.37,0.99,0.64,0.7,0.13,0.52
pi-qmc.csv,0.58,0.52,0.63,0.46,0.37,0.63,0.45,0.73,0.36,0.44,0.37,0.66,0.65,0.17,1.0
plplot.csv,0.58,0.66,0.54,0.52,0.56,0.54,0.43,0.69,0.45,0.92,0.53,0.63,0.76,0.14,0.49
powerfolder.csv,0.0,0.0,0.02,0.04,0.09,0.04,0.0,0.0,0.05,0.0,0.05,0.13,0.04,1.0,0.0
psycle.csv,0.67,0.98,0.64,0.5,0.58,0.77,0.51,0.83,0.37,0.42,0.63,0.71,0.71,0.09,0.54
qgis.csv,0.58,0.72,0.97,0.59,0.62,0.53,0.49,0.63,0.51,0.46,0.6,0.63,0.68,0.12,0.47
sbml.csv,0.68,0.7,0.59,0.57,0.52,0.74,0.58,0.99,0.42,0.39,0.62,0.66,0.65,0.08,0.54
unimrcp.csv,0.11,0.38,0.11,0.27,0.24,0.0,0.94,0.08,0.35,0.25,0.09,0.49,0.42,0.17,0.29
wow-qrsk.csv,0.32,0.52,0.47,0.57,0.49,0.38,0.32,0.63,0.97,0.48,0.43,0.55,0.58,0.12,0.17
