,jmoney.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jmonkeyengine.csv,e-bio-flow.csv,matrex.csv,reaper3d.csv
dxengine.csv,0.49,0.25,0.9,0.24,0.13,0.1,0.35,0.69,0.18
e-bio-flow.csv,0.2,0.22,0.3,0.45,0.35,0.12,0.25,0.12,0.46
jmoney.csv,0.2,0.35,0.1,0.45,0.41,0.2,0.31,0.07,0.33
jmonkeyengine.csv,0.66,0.8,0.65,0.63,0.55,0.28,0.63,0.57,0.72
jsidplay2.csv,0.63,0.73,0.2,0.74,0.96,0.88,0.62,0.55,0.36
matrex.csv,0.22,0.02,0.15,0.2,0.22,0.14,0.37,0.15,0.04
piccolo2d.csv,0.05,0.08,0.05,0.2,0.27,0.2,0.21,0.39,0.07
reaper3d.csv,0.51,0.27,0.5,0.4,0.26,0.32,0.37,0.48,0.37
sblim.csv,0.56,0.76,0.05,0.19,0.21,0.08,0.4,0.12,0.31
