,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,kmess.csv,rocrail.csv
kmess.csv,0.52,0.17,0.16,0.12,0.0,0.51
minig.csv,0.05,0.43,0.01,0.62,0.67,0.62
ossbuild.csv,0.25,0.13,0.24,0.02,0.49,0.44
rezilla.csv,0.02,0.96,0.87,0.93,0.91,0.88
rocrail.csv,0.0,0.13,0.04,0.11,0.09,0.0
webdriver.csv,0.22,0.02,0.43,0.45,0.51,0.22
