,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,196.0,97.5,98.5,98.5,296.5,289.5,188.0,99.0,391.0,97.5,97.5,188.0,472.5,99.0,567.0,99.0,99.0,98.5
dspace-gsoc.csv,97.5,196.5,92.5,98.5,198.0,99.0,290.5,99.0,685.0,97.5,97.5,390.5,5867.0,99.0,758.0,99.0,99.0,98.5
fbmanager.csv,183.0,59.5,96.5,94.5,5.5,94.5,188.0,73.5,0.0,97.5,97.5,87.5,281.5,94.5,90.5,85.5,0.0,98.5
fido.csv,108.0,64.5,0.0,138.0,96.5,93.5,29.5,96.5,13.5,96.5,0.0,0.0,1585.0,88.5,474.5,0.0,582.5,96.5
freenet.csv,196.0,187.0,194.0,99.0,396.0,193.0,290.5,99.0,685.0,96.5,97.5,390.5,1143.0,99.0,758.0,99.0,99.0,98.5
geogebra.csv,193.0,97.5,98.5,97.5,98.5,94.5,188.0,97.5,293.0,97.5,97.5,95.5,569.0,98.5,281.5,99.0,99.0,98.5
google-caja.csv,196.0,97.5,92.5,95.5,296.0,289.5,188.0,99.0,685.0,97.5,97.5,95.5,760.0,99.0,665.5,99.0,99.0,98.5
itext.csv,196.0,97.5,95.5,95.5,296.5,289.5,286.5,99.0,586.5,97.5,97.5,95.5,276.5,99.0,567.0,99.0,99.0,93.5
k3b.csv,196.0,196.5,98.5,99.0,396.0,99.0,381.0,99.0,99.0,99.0,97.5,92.5,857.5,99.0,471.5,99.0,99.0,98.5
megameknet.csv,196.0,194.5,98.5,98.5,296.0,99.0,282.5,99.0,586.5,99.0,275.5,291.5,3734.0,99.0,1606.5,99.0,99.0,98.5
myfaces.csv,94.5,97.5,96.5,97.5,197.0,99.0,282.5,97.5,483.0,97.5,97.5,95.5,571.0,99.0,471.5,99.0,99.0,98.5
onotoa.csv,537.0,95.5,195.0,99.0,99.0,99.0,192.0,99.0,99.0,99.0,97.5,671.0,5533.0,99.0,1921.5,99.0,99.0,98.5
paintown.csv,196.0,196.5,98.5,99.0,297.0,99.0,290.5,99.0,99.0,99.0,97.5,285.5,1046.5,99.0,758.0,99.0,99.0,93.5
powerfolder.csv,94.5,89.5,98.5,98.5,197.5,99.0,91.5,85.5,576.0,97.5,189.0,95.5,189.0,98.5,278.5,99.0,99.0,93.5
smartgwt.csv,194.0,196.5,98.5,99.0,197.5,99.0,190.0,99.0,385.0,97.5,97.5,108.0,189.0,98.5,373.0,193.0,99.0,96.5
sqlpower-library.csv,196.0,97.5,98.5,97.5,395.5,97.5,290.5,99.0,587.5,99.0,97.5,488.0,950.0,99.0,659.5,99.0,99.0,98.5
triplea.csv,196.0,97.5,98.5,97.5,297.0,174.0,290.5,99.0,99.0,99.0,184.0,95.5,849.5,99.0,1075.0,99.0,99.0,98.5
