,ktc.csv,rosegarden.csv,nosleepsoftware.csv,jbasic.csv,smarttag.csv,alleg.csv,iaml.csv,riff-evolve.csv,adobe-source.csv,xined.csv,wxcode.csv,nebuladevice.csv,pixel-commandos.csv,icescrum.csv,moast.csv,biodwh.csv,zemljanka.csv,factor.csv,natpad.csv,jcache.csv
adobe-source.csv,0.64,0.48,0.0,0.46,0.23,0.33,0.64,0.47,0.51,0.19,0.29,0.2,0.14,0.83,0.89,0.21,1.0,0.71,1.0,0.42
alleg.csv,0.54,0.35,0.3,0.7,0.26,0.8,0.7,0.54,0.17,0.21,0.12,0.29,0.02,0.34,0.64,0.1,0.96,0.82,0.67,0.6
biodwh.csv,0.63,0.43,0.0,0.71,0.33,0.6,0.76,0.66,0.39,0.14,0.28,0.18,0.15,0.58,1.0,0.47,1.0,0.79,0.61,0.78
factor.csv,0.31,0.17,0.08,1.0,0.29,0.62,1.0,0.6,0.16,0.8,0.18,0.1,0.0,0.32,0.0,0.12,0.95,0.91,0.57,0.57
iaml.csv,0.55,0.34,0.42,0.52,0.18,0.75,0.77,0.61,0.33,0.22,0.19,0.21,0.12,0.67,0.52,0.16,1.0,0.42,0.42,0.78
icescrum.csv,0.66,0.46,0.38,0.68,0.4,0.7,0.6,0.58,0.29,0.26,0.12,0.21,0.08,0.76,0.84,0.17,1.0,0.71,0.53,0.59
jbasic.csv,0.45,0.3,0.33,0.68,0.24,0.61,0.47,0.6,0.2,0.25,0.09,0.19,0.05,0.44,0.0,0.15,0.97,0.58,0.49,0.5
jcache.csv,0.49,0.37,0.26,0.57,0.4,0.62,0.48,0.6,0.23,0.28,0.11,0.26,0.11,0.48,0.91,0.21,0.97,0.7,0.48,0.82
ktc.csv,0.69,0.58,0.19,0.67,0.32,0.66,0.49,0.61,0.3,0.25,0.19,0.23,0.11,0.47,0.89,0.26,0.98,0.77,0.6,0.9
moast.csv,0.21,0.22,0.21,0.49,0.26,0.62,0.55,0.56,0.2,0.19,0.03,0.14,0.02,0.33,1.0,0.14,0.96,0.25,0.4,0.39
natpad.csv,0.52,0.31,0.1,0.62,0.27,0.6,0.43,0.53,0.23,0.22,0.15,0.14,0.02,0.31,0.74,0.15,0.96,0.78,0.62,0.61
nebuladevice.csv,0.31,0.26,0.31,0.4,0.29,1.0,0.49,0.48,0.08,0.25,0.02,0.35,0.0,0.23,0.89,0.03,0.79,0.7,0.0,0.15
nosleepsoftware.csv,0.26,0.25,0.57,0.2,0.0,0.93,0.41,0.5,0.11,0.0,0.09,0.4,0.0,0.0,0.25,0.1,1.0,0.29,0.25,0.75
pixel-commandos.csv,0.62,0.57,0.0,0.67,0.3,0.65,0.68,0.64,0.23,0.21,0.0,0.08,0.4,0.43,1.0,0.27,1.0,1.0,0.86,1.0
riff-evolve.csv,0.63,0.51,0.0,0.69,0.28,0.6,0.64,0.75,0.38,0.26,0.38,0.19,0.14,0.5,0.92,0.2,1.0,0.8,0.57,0.76
rosegarden.csv,0.59,0.56,0.24,0.59,0.36,0.64,0.62,0.53,0.28,0.24,0.21,0.24,0.12,0.46,0.7,0.26,0.97,0.57,0.54,0.68
smarttag.csv,0.53,0.37,0.13,0.55,0.42,0.61,0.53,0.56,0.18,0.19,0.11,0.21,0.06,0.44,0.46,0.12,0.75,0.68,1.0,0.68
wxcode.csv,0.68,0.58,0.5,0.67,0.0,0.64,0.4,0.5,0.32,0.43,0.33,0.26,0.11,0.62,0.36,0.33,0.98,0.4,0.57,0.76
xined.csv,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.71
zemljanka.csv,0.4,0.28,0.28,0.49,0.3,0.64,0.58,0.5,0.18,0.16,0.08,0.19,0.06,0.45,0.91,0.15,1.0,0.63,0.4,0.45
