,ktc.csv,rosegarden.csv,nosleepsoftware.csv,jbasic.csv,smarttag.csv,alleg.csv,iaml.csv,riff-evolve.csv,adobe-source.csv,xined.csv,wxcode.csv,nebuladevice.csv,pixel-commandos.csv,icescrum.csv,moast.csv,biodwh.csv,zemljanka.csv,factor.csv,natpad.csv,jcache.csv
adobe-source.csv,0.48,0.51,1.07,0.75,0.89,0.99,0.6,0.92,0.36,0.7,0.24,0.66,0.52,0.74,0.93,0.55,1.0,0.7,0.98,0.93
alleg.csv,0.6,0.61,0.67,0.89,0.76,0.4,0.89,0.71,0.75,0.69,0.56,0.64,1.0,0.78,1.03,0.85,0.75,0.37,0.48,0.91
biodwh.csv,0.49,0.53,1.02,0.62,0.65,0.75,0.78,0.58,0.45,0.83,0.33,0.74,0.31,0.49,0.92,0.29,0.6,0.66,0.46,0.31
factor.csv,0.92,0.96,1.0,0.98,0.7,0.72,0.94,0.74,0.88,0.6,0.41,0.94,1.03,0.79,1.0,0.86,0.88,0.18,0.51,0.89
iaml.csv,0.57,0.7,0.7,0.74,0.89,0.56,0.41,0.88,0.58,0.82,0.48,0.63,0.36,0.69,1.04,0.69,0.57,0.97,0.74,0.49
icescrum.csv,0.49,0.46,0.66,0.44,0.48,0.78,0.8,0.72,0.64,0.56,0.63,0.63,0.56,0.22,0.86,0.7,0.76,0.6,0.52,0.59
jbasic.csv,0.63,0.69,0.64,0.41,0.75,1.0,0.84,0.67,0.84,0.9,0.96,0.73,0.64,0.7,1.0,0.85,0.54,1.02,0.57,0.68
jcache.csv,0.64,0.59,0.84,0.66,0.86,0.91,0.83,0.6,0.67,0.6,0.6,0.53,0.34,0.54,0.72,0.55,0.61,0.68,0.58,0.18
ktc.csv,0.33,0.44,0.82,0.56,0.66,0.65,0.83,0.53,0.51,0.57,0.48,0.63,0.37,0.58,0.71,0.55,0.61,0.77,0.44,0.44
moast.csv,0.94,0.82,0.78,1.0,1.0,1.0,0.88,0.62,0.85,1.0,0.94,0.8,0.91,0.81,0.05,1.0,1.0,0.99,1.0,0.9
natpad.csv,0.56,0.66,1.0,0.8,0.71,0.73,0.88,0.71,0.62,0.68,0.51,0.8,0.96,0.86,0.94,0.74,0.81,0.47,0.4,0.52
nebuladevice.csv,0.84,0.78,0.74,0.82,0.7,0.99,0.82,0.74,0.93,0.73,1.03,0.47,1.19,0.91,0.9,1.05,1.0,0.7,1.0,1.17
nosleepsoftware.csv,0.92,0.9,0.31,0.97,1.0,0.85,0.9,0.96,0.97,1.0,0.87,0.61,1.04,1.03,1.03,0.93,0.96,0.98,0.94,0.91
pixel-commandos.csv,0.82,0.7,1.0,0.88,0.65,0.86,0.74,0.7,0.71,0.67,1.0,0.95,0.07,0.85,0.77,0.76,0.9,0.98,0.86,0.91
riff-evolve.csv,0.41,0.47,1.06,0.72,0.69,0.77,0.63,0.39,0.51,0.61,0.19,0.73,0.32,0.54,0.69,0.6,0.91,0.56,0.58,0.26
rosegarden.csv,0.42,0.34,0.73,0.57,0.68,0.68,0.69,0.76,0.51,0.6,0.32,0.59,0.31,0.57,1.0,0.55,0.59,0.81,0.51,0.36
smarttag.csv,0.55,0.57,0.94,0.84,0.51,0.81,0.77,0.62,0.77,0.76,0.62,0.61,0.68,0.63,1.34,0.79,0.99,0.83,0.98,0.45
wxcode.csv,0.42,0.48,0.7,0.59,1.0,0.73,0.9,0.7,0.51,0.71,0.18,0.53,0.53,0.6,1.03,0.68,0.72,0.94,0.73,0.28
xined.csv,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,1.0,0.32
zemljanka.csv,0.83,0.86,0.75,1.0,0.82,0.68,0.97,0.72,0.83,0.89,0.77,0.79,0.7,0.59,0.83,0.97,0.2,1.0,0.84,1.0
