,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.67,0.75,0.89,0.49,0.67,0.8,0.5,0.94,0.86,0.63,0.92,0.71,0.9,0.96
boost-sandbox.csv,0.43,0.57,0.79,0.95,0.39,0.53,0.59,0.35,0.42,0.39,0.54,0.57,0.61,0.67
customwars.csv,0.42,0.55,0.8,0.34,0.86,0.47,0.86,0.55,0.43,0.89,0.52,0.9,0.45,0.45
dvd-create.csv,0.44,0.41,0.65,0.39,0.41,0.41,0.0,0.35,0.35,0.43,0.4,0.47,0.47,0.48
frogatto.csv,0.39,0.36,0.51,0.32,0.34,0.35,0.38,0.35,0.27,0.39,0.33,0.53,0.45,0.46
glelite.csv,0.4,0.4,0.86,0.35,0.41,0.46,0.37,0.44,0.31,0.45,0.34,0.45,0.47,0.51
go.csv,0.43,0.43,0.72,0.35,0.5,0.37,0.0,0.32,0.46,0.42,0.42,0.55,0.51,0.47
irplus.csv,0.43,0.79,0.47,0.31,0.6,0.66,0.29,0.44,0.43,0.36,0.44,0.52,0.64,0.52
lsb.csv,0.52,0.53,0.72,0.45,0.4,0.89,0.75,0.38,0.58,0.68,0.4,0.74,0.52,0.61
moving-pictures.csv,0.45,0.92,0.86,0.86,0.8,0.39,0.0,0.41,0.44,0.35,0.53,0.92,0.55,0.48
mpgravity.csv,0.42,0.4,0.61,0.45,0.38,0.4,0.53,0.33,0.52,0.44,0.35,0.43,0.51,0.51
plearn.csv,0.51,0.67,0.95,0.95,0.65,0.51,0.63,0.53,0.41,0.48,0.46,0.57,0.92,0.58
rebecca-aiml.csv,0.56,0.43,0.59,0.35,0.47,0.47,0.0,0.34,0.31,0.43,0.37,0.6,0.42,0.41
wxcode.csv,0.51,0.49,0.8,0.34,0.87,0.91,0.45,0.8,0.53,0.88,0.59,0.82,0.61,0.53
