,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv
abbot.csv,0.43,0.41,0.0,0.62,0.43,0.58,0.41,0.98
jicarilla.csv,0.03,0.05,0.94,0.0,0.29,0.05,0.0,0.14
optalgtoolkit.csv,0.88,0.73,0.18,0.88,0.71,1.0,0.65,0.45
ossim.csv,0.05,0.03,0.0,0.81,0.0,0.0,0.03,0.0
projectts.csv,0.62,0.73,0.15,0.75,0.71,0.63,0.97,0.52
sabbu.csv,0.95,0.54,0.24,0.62,0.86,0.53,0.46,0.18
vxl.csv,0.36,0.89,0.97,0.06,0.14,0.05,0.65,0.66
zact.csv,0.0,0.0,0.0,0.06,1.0,0.0,0.0,0.09
