,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv
adonthell.csv,0.5,0.34,0.41,0.38,0.66,0.5,0.56,0.43,0.48,0.52,0.62,0.53,0.43,0.51,0.75,0.38,0.41,0.44,0.53,0.92
autofac.csv,0.43,0.33,0.52,0.52,0.75,0.64,0.44,0.48,0.53,0.46,0.53,0.45,0.42,0.44,0.52,0.32,0.48,0.74,0.48,0.42
avisynth2.csv,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.67,0.0,0.0,0.0,0.5,0.0,0.0
azureus.csv,0.74,0.74,0.64,0.85,0.75,0.87,0.64,0.68,0.6,0.48,0.0,0.73,0.63,0.0,0.78,0.63,0.7,0.75,0.86,0.67
coot.csv,0.46,0.55,0.71,0.54,0.61,0.74,0.54,0.61,0.52,0.63,0.52,0.75,0.73,0.71,0.48,0.49,0.72,0.58,0.53,0.53
dsworkbench.csv,0.47,0.36,0.4,0.63,0.92,0.59,0.39,0.54,0.56,0.59,0.59,0.48,0.63,0.4,0.67,0.42,0.44,0.5,0.78,0.42
forester-atv.csv,0.67,0.56,0.61,0.5,0.88,0.93,0.67,0.89,0.75,0.89,0.0,0.97,0.92,0.75,0.67,0.75,0.98,0.8,0.67,0.92
freelords.csv,0.45,0.62,0.37,0.33,0.48,0.43,0.42,0.42,0.42,0.5,0.48,0.49,0.37,0.38,0.5,0.43,0.4,0.41,0.38,0.44
gabel.csv,0.0,0.93,0.9,0.53,0.0,0.8,0.8,0.79,0.67,0.88,0.54,0.8,0.76,0.0,0.8,0.75,0.68,0.0,0.0,0.0
geotools.csv,0.47,0.75,0.57,0.93,0.92,0.92,0.75,0.79,0.89,0.76,0.88,0.88,0.65,0.89,0.86,0.89,0.69,0.89,0.95,0.94
gephex.csv,0.79,0.43,0.44,0.57,0.6,0.67,0.47,0.49,0.92,0.49,0.62,0.67,0.39,0.81,0.93,0.48,0.48,0.53,0.49,0.53
google-collections.csv,0.39,0.37,0.37,0.35,0.45,0.38,0.45,0.41,0.31,0.46,0.39,0.38,0.33,0.4,0.45,0.41,0.41,0.42,0.34,0.45
jpaul.csv,0.5,0.47,0.67,0.75,0.5,0.9,0.65,0.84,0.88,0.55,0.86,0.72,0.59,0.67,0.7,0.69,0.57,0.83,0.8,0.75
mycila.csv,0.92,0.9,0.65,0.41,0.89,0.86,0.55,0.92,0.52,0.64,0.9,0.54,0.93,0.83,0.51,0.59,0.59,0.69,0.83,0.83
neodatis-odb.csv,0.92,0.45,0.55,0.63,0.95,0.67,0.82,0.77,0.88,0.74,0.83,0.92,0.83,0.91,0.67,0.92,0.74,0.82,0.66,0.45
octet.csv,0.54,0.44,0.62,0.9,0.95,0.59,0.73,0.67,0.83,0.53,0.89,0.43,0.62,0.73,0.83,0.52,0.48,0.67,0.92,0.88
pokenetonline.csv,0.4,0.3,0.4,0.44,0.83,0.5,0.45,0.4,0.5,0.47,0.5,0.39,0.39,0.46,0.78,0.45,0.44,0.53,0.48,0.63
scenemonitor.csv,0.4,0.35,0.4,0.39,0.54,0.47,0.4,0.46,0.52,0.46,0.5,0.38,0.41,0.43,0.45,0.37,0.38,0.56,0.44,0.4
servicestack.csv,0.93,0.41,0.64,0.63,0.89,0.65,0.79,0.67,0.83,0.59,0.65,0.67,0.63,0.72,0.61,0.82,0.61,0.71,0.68,0.91
twostep.csv,0.82,0.37,0.4,0.49,0.94,0.49,0.69,0.46,0.57,0.48,0.5,0.52,0.48,0.71,0.52,0.5,0.5,0.64,0.76,0.44
