,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.19,0.15,0.45,0.25,0.17,0.13,0.03,0.06,0.15,0.05
flylegacy.csv,0.77,0.95,0.45,0.49,0.49,0.95,0.74,0.58,0.99,0.9
ftm.csv,0.3,0.05,0.45,0.38,0.29,0.18,0.42,0.58,0.35,0.22
jcache.csv,0.79,0.45,0.86,0.59,0.54,0.46,0.34,0.97,0.24,0.17
lphant.csv,0.86,0.35,0.55,0.59,0.76,0.33,0.37,0.27,0.54,0.29
minig.csv,0.63,0.95,0.86,0.83,0.8,0.22,0.63,1.0,0.15,0.05
mob-sen-plat.csv,0.84,0.15,0.91,0.76,0.76,0.85,0.45,0.67,0.73,0.29
raygina.csv,0.26,0.0,0.45,0.36,0.2,0.18,0.26,0.76,0.07,0.0
upp-mirror.csv,0.44,0.1,0.73,0.56,0.32,0.52,0.18,0.36,0.18,0.17
yarp.csv,0.09,0.0,0.23,0.17,0.05,0.46,0.32,0.27,0.07,0.66
