,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.36,0.11,0.41,0.66,0.19,0.2,0.05,0.17,0.16,0.4
flylegacy.csv,0.44,0.2,0.59,0.48,0.41,0.2,0.61,0.37,0.05,0.34
ftm.csv,0.62,0.21,0.65,0.46,0.34,0.48,0.53,0.69,0.66,0.81
jcache.csv,0.57,0.77,0.44,0.47,0.51,0.54,0.47,0.13,0.25,0.89
lphant.csv,0.45,0.62,0.63,0.61,0.53,0.71,0.47,0.69,0.69,0.82
minig.csv,0.51,0.2,0.41,0.46,0.42,0.73,0.48,0.0,0.12,0.37
mob-sen-plat.csv,0.47,0.8,0.33,0.52,0.57,0.45,0.56,0.63,0.59,0.73
raygina.csv,0.69,0.0,0.54,0.46,0.27,0.5,0.4,0.57,0.06,0.37
upp-mirror.csv,0.56,0.15,0.57,0.67,0.7,0.46,0.24,0.44,0.48,0.46
yarp.csv,0.32,0.0,0.31,0.07,0.0,0.39,0.61,0.27,0.06,0.35
