,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.48,0.96,0.83,0.14,0.58,1.0,0.0,0.41,0.91,0.94,0.0,0.02,0.0,0.85,0.0
arianne.csv,0.72,0.92,0.69,0.12,0.3,0.24,0.49,0.3,0.68,0.56,0.44,0.04,0.37,0.64,0.66
auber.csv,0.63,0.95,0.69,0.12,0.38,0.32,0.56,0.65,0.66,0.8,0.55,0.04,0.46,0.85,0.54
bl-toolkit.csv,0.52,0.92,0.89,0.21,0.3,0.15,0.5,0.29,0.59,0.47,0.43,0.08,0.36,0.76,0.59
growl-for-windows.csv,0.0,0.98,0.83,0.12,0.43,0.0,0.74,0.57,0.71,0.71,0.37,0.0,0.48,0.84,0.92
keyczar.csv,0.42,0.5,1.0,0.22,0.22,0.04,0.2,0.18,0.0,0.15,0.31,0.2,0.5,0.9,0.6
kml.csv,0.56,0.92,0.84,0.13,0.33,0.25,0.75,0.33,0.72,0.62,0.49,0.04,0.39,0.86,0.65
knowledge.csv,0.64,1.0,0.73,0.15,0.32,0.18,0.56,0.25,0.63,0.63,0.45,0.04,0.44,0.8,0.54
les-indemodables.csv,0.51,0.95,0.67,0.16,0.35,0.18,0.53,0.35,0.76,0.64,0.37,0.04,0.52,0.82,0.72
lportal.csv,0.57,1.0,1.0,0.0,0.0,1.0,0.9,0.0,0.89,0.83,1.0,0.15,0.5,0.0,0.0
lufa-lib.csv,0.44,0.91,0.75,0.11,0.36,0.23,0.52,0.33,0.67,0.58,0.6,0.06,0.4,0.78,0.73
micomt.csv,0.5,0.93,0.84,0.11,0.39,0.61,0.8,0.35,0.71,0.6,0.56,0.05,0.43,0.79,0.76
sigil.csv,0.69,0.98,0.81,0.07,0.4,0.39,1.0,0.43,0.84,0.68,0.6,0.05,0.45,0.9,0.92
ultimairis.csv,0.56,1.0,0.7,0.19,0.55,0.39,0.48,0.63,0.8,0.83,0.43,0.04,0.0,1.0,0.85
voms.csv,0.63,0.98,0.69,0.43,0.5,0.71,0.67,0.75,0.86,0.79,0.58,0.04,0.5,0.0,0.67
