,ktc.csv,rosegarden.csv,nosleepsoftware.csv,jbasic.csv,smarttag.csv,alleg.csv,iaml.csv,riff-evolve.csv,adobe-source.csv,xined.csv,wxcode.csv,nebuladevice.csv,pixel-commandos.csv,icescrum.csv,moast.csv,biodwh.csv,zemljanka.csv,factor.csv,natpad.csv,jcache.csv
adobe-source.csv,0.52,0.65,0.25,0.56,0.35,0.56,0.64,0.5,1.0,0.6,0.46,0.25,0.5,0.58,0.63,0.15,1.0,0.76,0.6,0.66
alleg.csv,0.41,0.25,0.22,0.56,0.33,0.99,0.43,0.49,0.18,0.11,0.09,0.12,0.03,0.33,0.66,0.14,0.95,0.68,0.54,0.71
biodwh.csv,0.43,0.31,0.26,0.27,0.0,0.56,0.68,0.45,0.4,0.4,0.57,0.17,0.07,0.45,0.75,1.0,1.0,0.71,0.47,0.68
factor.csv,0.5,0.0,0.0,0.8,0.33,0.0,1.0,0.64,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,0.0,0.75
iaml.csv,0.49,0.35,0.21,0.53,0.17,0.5,1.0,0.53,0.22,0.18,0.08,0.16,0.05,0.58,0.87,0.16,0.96,0.56,0.39,0.7
icescrum.csv,0.67,0.46,0.67,0.62,0.6,0.62,0.49,0.69,0.32,0.19,0.2,0.3,0.15,1.0,0.74,0.19,0.96,0.42,0.41,0.56
jbasic.csv,0.56,0.38,0.0,0.98,0.39,0.68,0.62,0.72,0.22,0.29,0.12,0.16,0.12,0.62,0.97,0.15,1.0,0.53,0.6,0.67
jcache.csv,0.53,0.34,0.3,0.57,0.15,0.67,0.56,0.56,0.27,0.36,0.16,0.14,0.06,0.48,0.86,0.19,1.0,0.62,0.0,1.0
ktc.csv,0.99,0.51,0.33,0.71,0.26,0.68,0.58,0.71,0.22,0.27,0.26,0.18,0.09,0.52,0.91,0.19,0.96,0.6,0.52,0.44
moast.csv,0.42,0.31,0.25,0.61,0.3,0.66,0.59,0.53,0.17,0.2,0.1,0.2,0.04,0.41,1.0,0.15,0.97,0.12,0.48,0.43
natpad.csv,0.62,0.37,0.24,0.69,0.26,0.67,0.51,0.53,0.22,0.19,0.35,0.24,0.11,0.64,0.85,0.17,0.97,0.8,1.0,0.29
nebuladevice.csv,0.79,0.71,0.5,0.69,0.25,0.74,0.56,0.86,0.4,0.25,0.3,1.0,0.06,0.8,0.39,0.15,1.0,0.62,0.76,1.0
nosleepsoftware.csv,0.56,0.37,1.0,0.69,0.0,0.8,0.37,0.73,0.28,0.0,0.19,0.18,0.0,0.43,0.31,0.28,0.98,1.0,0.62,0.8
pixel-commandos.csv,0.73,0.83,0.0,0.0,0.5,0.0,0.0,0.67,0.29,0.33,0.0,0.0,1.0,1.0,0.67,0.0,0.0,1.0,0.0,0.0
riff-evolve.csv,0.58,0.4,0.37,0.53,0.23,0.6,0.53,0.99,0.31,0.22,0.09,0.18,0.11,0.42,0.91,0.12,0.97,0.67,0.46,0.67
rosegarden.csv,0.75,0.98,0.33,0.66,0.35,0.69,0.54,0.67,0.2,0.29,0.19,0.2,0.13,0.52,0.72,0.13,0.95,0.71,0.57,0.22
smarttag.csv,0.53,0.46,0.0,0.5,1.0,0.52,0.69,0.52,0.18,0.3,0.18,0.12,0.05,0.33,0.92,0.1,0.71,0.25,0.25,0.57
wxcode.csv,0.85,0.85,1.0,0.89,0.0,1.0,0.43,0.58,0.33,0.0,1.0,0.25,0.0,0.0,0.36,0.1,1.0,1.0,0.0,0.33
xined.csv,0.73,0.42,0.0,0.47,0.25,0.55,0.61,0.5,0.17,1.0,0.29,0.67,0.25,0.42,0.49,0.1,0.96,0.75,0.49,0.22
zemljanka.csv,0.4,0.28,0.23,0.48,0.26,0.58,0.56,0.49,0.19,0.18,0.09,0.17,0.04,0.36,0.89,0.11,1.0,0.63,0.41,0.45
