,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.53,0.52,0.92,0.73,0.64,0.51,0.87,0.47,0.64,0.62,0.65,0.98
archive-crawler.csv,0.83,0.75,0.86,0.75,0.64,0.73,0.95,0.77,0.94,0.73,0.83,0.95
blue-c.csv,0.48,0.65,0.47,0.63,0.72,0.5,0.64,0.58,0.65,0.49,0.55,0.65
dynalloy.csv,0.64,0.73,0.3,0.64,0.52,0.64,0.56,0.58,0.61,0.51,0.5,0.41
jcae.csv,0.0,0.75,0.89,0.0,0.0,0.0,0.5,0.0,0.88,0.83,0.5,0.0
kmatplot.csv,0.86,0.72,0.94,0.88,0.8,0.86,0.86,0.9,0.9,0.65,0.82,0.47
mscore.csv,0.49,0.58,0.47,0.54,0.67,0.45,0.47,0.51,0.63,0.36,0.37,0.37
nosleepsoftware.csv,0.82,0.67,0.45,0.75,0.73,0.84,0.67,0.89,0.93,0.63,0.5,0.45
openmalaria.csv,0.42,0.36,0.27,0.42,0.5,0.41,0.38,0.51,0.41,0.37,0.28,0.33
popeye-chess.csv,0.46,0.5,0.44,0.5,0.58,0.42,0.44,0.56,0.6,0.38,0.42,0.37
riff-evolve.csv,0.58,0.59,0.41,0.62,0.69,0.48,0.55,0.58,0.57,0.49,0.58,0.42
virtuoso.csv,0.56,0.5,0.35,0.86,0.5,0.65,0.6,0.63,0.54,0.45,0.43,0.79
