,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.81,0.72,0.72,0.91,0.95,0.96,0.82,0.94,0.75,0.85,0.05,0.85
archive-crawler.csv,0.83,0.69,0.67,0.92,0.57,0.78,0.91,0.68,0.92,0.04,0.81,0.84
blue-c.csv,0.73,0.63,0.54,1.09,0.74,0.05,0.66,0.63,0.72,0.79,0.62,0.85
dynalloy.csv,0.47,0.06,0.87,0.97,0.45,0.77,0.64,0.64,0.67,0.6,0.6,0.94
jcae.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.99,0.98,0.92,0.96,0.9,1.0
kmatplot.csv,0.04,0.87,0.69,0.75,0.86,0.77,0.78,0.84,0.74,0.86,0.84,0.49
mscore.csv,0.62,0.83,0.51,0.54,0.63,0.34,0.02,0.65,0.61,0.74,0.68,0.63
nosleepsoftware.csv,0.7,1.0,0.46,0.0,0.72,0.9,0.74,0.86,0.87,0.82,0.85,0.57
openmalaria.csv,0.5,0.67,0.83,0.49,0.54,0.43,0.5,0.02,0.58,0.75,0.96,0.72
popeye-chess.csv,0.47,0.62,0.53,0.74,0.06,0.52,0.52,0.51,0.65,0.69,0.64,0.59
riff-evolve.csv,0.56,0.73,0.58,0.82,0.4,0.54,0.56,0.6,0.05,0.57,0.36,0.59
virtuoso.csv,0.51,0.84,0.8,0.88,0.52,0.55,0.69,0.79,0.77,0.59,0.63,0.1
