,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.24,0.26,0.74,0.25,0.3,0.22,0.02,0.0,0.04,0.32,0.02,0.0,0.19
bdbbasic.csv,0.39,0.37,0.44,0.31,0.34,0.49,0.04,0.0,0.16,0.63,0.02,0.1,0.22
echongl.csv,0.36,0.14,0.88,0.5,0.79,0.44,0.2,0.0,0.39,0.18,0.2,0.26,0.43
etherboot.csv,0.01,0.02,0.0,0.0,0.3,0.02,0.0,0.05,0.08,0.0,0.15,0.73,0.0
freebios.csv,0.68,0.15,0.38,0.66,0.44,0.16,0.24,0.82,0.61,0.18,0.33,0.69,0.7
gebr.csv,0.88,1.0,0.86,0.94,0.8,0.96,1.0,0.11,1.0,1.0,0.8,0.95,0.86
gnukeda.csv,0.79,0.49,0.46,0.28,0.7,0.34,0.49,0.21,0.18,0.79,0.27,0.43,0.89
google-gears.csv,0.47,0.49,0.62,0.12,0.75,0.94,0.9,0.63,0.88,0.97,0.98,0.58,0.3
jnode.csv,0.03,0.28,0.21,0.38,0.1,0.04,0.06,0.55,0.1,0.08,0.02,0.04,0.14
openmeetings.csv,0.2,0.19,0.3,0.06,0.52,0.26,0.02,0.0,0.2,0.66,0.42,0.22,0.16
pgui.csv,0.49,0.68,0.0,0.31,0.72,0.72,0.08,0.5,0.61,0.08,0.29,0.75,0.38
tradelink.csv,0.19,0.77,0.96,0.28,0.62,0.34,0.47,0.18,0.31,0.16,0.66,0.42,0.19
wxcrp.csv,0.31,0.87,0.95,0.78,1.0,0.55,0.59,1.0,0.51,0.82,0.67,0.36,0.46
