,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.72,0.97,0.52,0.68,0.75,0.68,0.5,0.0,0.83,0.55,0.67,0.0,0.6
bdbbasic.csv,0.48,0.78,0.68,0.41,0.58,0.31,0.83,0.89,0.52,0.31,0.88,0.93,0.47
echongl.csv,0.55,0.96,0.44,0.47,0.45,0.53,0.88,0.58,0.47,0.37,0.66,0.72,0.59
etherboot.csv,0.67,0.89,0.0,0.0,0.61,0.8,0.0,0.76,0.82,0.0,0.78,0.39,0.67
freebios.csv,0.58,0.96,0.73,0.64,0.76,0.94,0.63,0.84,0.68,0.6,0.8,0.45,0.72
gebr.csv,0.4,0.38,0.4,0.42,0.41,0.49,0.39,0.44,0.4,0.3,0.41,0.33,0.45
gnukeda.csv,0.47,0.57,0.63,0.53,0.45,0.45,0.6,0.56,0.93,0.46,0.8,0.58,0.47
google-gears.csv,0.45,0.56,0.56,0.56,0.42,0.5,0.41,0.48,0.41,0.3,0.4,0.43,0.49
jnode.csv,0.67,0.65,0.76,0.58,0.83,0.67,0.89,0.81,0.88,0.92,0.75,0.75,0.95
openmeetings.csv,0.52,0.54,0.52,0.88,0.43,0.37,0.67,0.58,0.69,0.36,0.43,0.62,0.69
pgui.csv,0.62,0.45,0.0,0.53,0.44,0.39,0.88,0.54,0.48,0.83,0.59,0.35,0.52
tradelink.csv,0.83,0.49,0.41,0.55,0.55,0.58,0.55,0.52,0.56,0.47,0.48,0.59,0.67
wxcrp.csv,0.46,0.43,0.4,0.49,0.41,0.37,0.46,0.46,0.49,0.36,0.5,0.62,0.55
