,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,0.16,0.26,0.09,0.0,0.35,0.11,0.15,0.1,0.95,0.13,0.17,0.25,0.09,0.11,0.11,0.11,0.12,0.11
dvd-create.csv,1.0,0.77,0.65,0.75,0.85,0.83,0.69,0.3,0.95,0.93,0.66,0.79,0.75,0.75,0.39,0.87,0.69,0.82
echongl.csv,0.35,0.67,0.65,0.67,0.48,0.53,0.44,0.6,0.5,1.0,0.36,0.49,0.62,0.7,0.44,0.83,0.51,0.45
empserver.csv,0.24,0.38,0.52,0.67,0.21,0.86,0.25,0.0,0.7,0.4,0.17,0.47,0.53,0.3,0.31,0.36,0.2,0.34
gdis.csv,0.77,0.87,0.61,0.92,0.92,0.69,0.76,0.6,0.95,0.93,0.66,1.0,0.81,0.72,0.78,0.89,0.73,0.74
gmerlin.csv,0.2,0.16,0.43,0.33,0.42,0.33,0.19,0.2,0.2,0.22,0.28,0.54,0.97,0.25,0.28,0.08,0.22,0.21
growl-for-windows.csv,0.14,0.54,0.39,0.92,0.81,0.44,0.23,0.7,0.55,0.05,0.4,0.44,0.0,0.46,0.97,0.06,0.33,0.13
mpgravity.csv,0.57,0.8,0.61,1.0,0.69,0.67,0.71,0.5,0.9,0.53,0.57,0.7,0.56,0.63,0.72,0.6,0.4,0.42
myfaces.csv,0.95,0.16,0.35,0.25,0.94,0.86,0.65,0.4,0.35,0.31,0.32,0.86,0.75,0.28,0.75,0.26,0.22,0.74
nativeclient.csv,0.39,0.77,0.65,0.58,0.85,0.47,0.46,0.5,0.75,0.71,0.57,0.54,0.66,0.74,0.83,0.62,0.97,0.29
passwordsafe.csv,0.65,0.7,0.48,0.42,0.65,0.42,0.63,0.2,0.9,0.67,0.23,0.82,0.44,0.98,0.44,0.7,0.61,0.66
phonon-vlc-mplayer.csv,0.57,1.0,0.26,0.17,0.69,0.64,0.79,0.2,0.55,0.46,0.43,0.61,0.31,0.33,0.72,0.49,0.35,0.79
ppcboot.csv,0.27,0.55,0.13,0.17,0.77,0.36,0.96,0.1,0.4,0.61,0.38,0.3,0.41,0.35,0.31,0.58,0.35,0.5
rtrt-on-gpu.csv,0.08,0.13,0.0,0.08,0.25,0.0,0.08,1.0,0.1,0.11,0.15,0.02,0.06,0.23,0.47,0.15,0.22,0.11
sandiaportals.csv,0.69,0.84,1.0,0.17,0.96,0.67,0.6,0.4,0.9,0.89,0.51,0.7,0.66,0.7,0.44,1.0,0.68,0.61
tktoolkit.csv,0.08,0.14,0.91,0.42,0.35,0.17,0.27,0.3,0.2,0.1,0.21,0.21,0.31,0.14,0.58,0.02,0.29,0.13
ultimairis.csv,0.2,0.62,0.3,0.67,0.31,0.47,0.05,0.4,0.65,0.34,0.94,0.09,0.31,0.56,0.28,0.25,0.59,0.21
wikipediardware.csv,0.86,0.78,0.96,0.92,0.96,0.81,0.6,0.8,0.5,0.97,0.89,0.86,0.94,0.79,0.5,0.83,0.85,0.95
