,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,0.92,0.95,0.95,0.67,0.82,0.75,0.97,0.0,0.63,0.95,0.92,0.73,0.86,0.89,0.83,0.83,0.95,0.8
dvd-create.csv,0.41,0.57,0.52,0.48,0.48,0.45,0.65,0.41,0.41,0.31,0.43,0.35,0.35,0.46,0.46,0.38,0.55,0.42
echongl.csv,0.74,0.56,0.5,0.49,0.62,0.59,0.93,0.74,0.56,0.36,0.75,0.62,0.49,0.54,0.88,0.44,0.76,0.79
empserver.csv,0.95,0.89,0.62,0.36,0.91,0.61,0.94,0.67,0.49,0.65,0.95,0.48,0.55,0.87,0.57,0.7,0.95,0.53
gdis.csv,0.4,0.58,0.47,0.45,0.44,0.48,0.58,0.4,0.35,0.3,0.45,0.35,0.35,0.46,0.49,0.4,0.56,0.46
gmerlin.csv,0.94,0.8,0.68,0.7,0.72,0.52,0.65,0.67,0.9,0.96,0.93,0.37,0.65,0.9,0.53,0.8,0.66,0.89
growl-for-windows.csv,0.93,0.78,0.92,0.41,0.52,0.56,0.81,0.5,0.47,0.95,0.76,0.48,0.5,0.62,0.57,0.75,0.86,0.89
mpgravity.csv,0.47,0.54,0.47,0.75,0.48,0.4,0.67,0.73,0.35,0.43,0.52,0.42,0.5,0.51,0.59,0.44,0.69,0.64
myfaces.csv,0.4,0.93,0.77,0.67,0.98,0.43,0.56,0.78,0.67,0.75,0.63,0.38,0.5,0.87,0.6,0.85,0.8,0.53
nativeclient.csv,0.56,0.56,0.48,0.54,0.45,0.62,0.72,0.42,0.41,0.36,0.48,0.5,0.49,0.45,0.51,0.43,0.57,0.67
passwordsafe.csv,0.49,0.74,0.65,0.58,0.55,0.7,0.68,0.88,0.45,0.38,0.95,0.35,0.61,0.62,0.4,0.48,0.65,0.61
phonon-vlc-mplayer.csv,0.5,0.9,0.97,0.8,0.59,0.59,0.69,0.89,0.57,0.47,0.82,0.44,0.7,0.88,0.6,0.57,0.81,0.49
ppcboot.csv,0.8,0.9,0.77,0.89,0.49,0.87,0.76,0.69,0.76,0.45,0.79,0.72,0.56,0.74,0.6,0.53,0.73,0.5
rtrt-on-gpu.csv,0.88,0.7,0.0,0.86,0.97,0.0,0.95,0.9,0.8,0.94,0.95,0.67,0.92,0.84,0.84,0.92,0.91,0.83
sandiaportals.csv,0.46,0.67,0.41,0.75,0.43,0.57,0.66,0.59,0.46,0.31,0.7,0.44,0.45,0.56,0.38,0.43,0.54,0.45
tktoolkit.csv,0.89,0.98,0.95,0.75,0.6,0.88,0.97,0.86,0.87,0.92,0.9,0.94,0.96,0.97,0.74,0.67,0.91,0.89
ultimairis.csv,0.87,0.71,0.59,0.35,0.69,0.56,0.92,0.74,0.42,0.64,0.8,0.8,0.69,0.63,0.64,0.71,0.65,0.93
wikipediardware.csv,0.39,0.46,0.38,0.4,0.43,0.38,0.44,0.4,0.52,0.3,0.41,0.34,0.39,0.42,0.38,0.42,0.48,0.46
