,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,0.0,0.0,1.0,52.0,31.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0
dvd-create.csv,0.0,17.0,3.0,3.0,23.0,1.0,0.0,18.0,5.0,0.0,10.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0
echongl.csv,2.0,24.0,1.0,18.0,36.0,2.0,0.0,3.0,11.0,0.0,1.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0
empserver.csv,0.0,3.0,1.0,6.0,37.0,0.0,0.0,57.0,2.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
gdis.csv,0.0,6.0,8.0,2.0,15.0,0.0,0.0,1.0,2.0,0.0,7.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0
gmerlin.csv,0.0,1.0,10.0,0.0,16.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
growl-for-windows.csv,0.0,8.0,3.0,1.0,30.0,0.0,3.0,3.0,6.0,0.0,1.0,1.0,97.0,1.0,0.0,0.0,1.0,3.0
mpgravity.csv,0.0,7.0,6.0,0.0,15.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0
myfaces.csv,0.0,17.0,3.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0
nativeclient.csv,1.0,10.0,1.0,4.0,26.0,0.0,0.0,19.0,5.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0
passwordsafe.csv,0.0,5.0,5.0,5.0,8.0,1.0,0.0,8.0,8.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,0.0,1.0
phonon-vlc-mplayer.csv,0.0,0.0,5.0,2.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0
ppcboot.csv,0.0,3.0,6.0,3.0,16.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
rtrt-on-gpu.csv,0.0,14.0,177.0,1.0,16.0,68.0,0.0,0.0,5.0,0.0,1.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0
sandiaportals.csv,0.0,9.0,2.0,1.0,31.0,1.0,0.0,4.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0
tktoolkit.csv,1.0,7.0,0.0,0.0,20.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,2.0
ultimairis.csv,0.0,9.0,0.0,1.0,9.0,4.0,2.0,6.0,13.0,0.0,0.0,0.0,13.0,10.0,2.0,0.0,0.0,0.0
wikipediardware.csv,0.0,12.0,3.0,7.0,19.0,1.0,0.0,1.0,11.0,0.0,1.0,0.0,3.0,1.0,5.0,2.0,0.0,0.0
