,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.51,0.39,0.29,0.05,0.23,0.29,0.74,0.49,0.92,0.75,0.51,0.28,0.77,0.54,0.58,0.22,0.51
amygdala.csv,0.56,0.04,0.29,0.24,0.11,0.35,0.48,0.54,0.2,0.39,0.33,0.7,0.29,0.54,0.51,0.47,0.0
awemud.csv,0.68,0.71,0.45,0.37,0.65,0.49,0.64,0.52,0.9,0.0,0.2,0.56,0.74,0.65,0.61,0.65,0.54
bullet.csv,0.63,0.54,0.41,0.65,0.45,0.69,0.45,0.31,0.2,0.0,0.21,0.64,0.42,0.1,0.15,0.4,0.54
customwars.csv,0.58,0.43,0.22,0.24,0.27,0.49,0.54,0.39,0.81,0.0,0.61,0.36,0.72,0.52,0.46,0.32,0.51
dvd-create.csv,0.54,0.69,0.46,0.21,0.8,0.59,0.53,0.66,0.5,0.0,0.49,0.66,0.46,0.67,0.55,0.23,0.61
gbif-indexingtoolkit.csv,0.47,0.0,0.23,0.0,0.0,0.23,0.07,0.64,0.84,0.0,0.5,0.21,0.0,0.49,0.23,0.0,0.02
go.csv,0.6,0.72,0.59,0.33,0.36,0.54,0.72,0.51,0.37,0.0,0.52,0.65,0.65,0.68,0.57,0.79,0.62
growl-for-windows.csv,0.73,0.0,0.29,0.13,0.06,0.23,0.72,0.54,0.0,0.0,0.0,0.66,0.0,0.6,0.56,0.7,0.28
kwave.csv,0.7,0.0,0.54,0.0,0.0,0.51,0.51,0.51,0.39,0.59,0.45,0.56,0.48,0.68,0.53,0.23,0.0
libarchive.csv,0.7,0.66,0.45,0.68,0.5,0.71,0.73,0.35,0.81,0.7,0.09,0.74,0.72,0.24,0.46,0.6,0.65
linux-ntfs.csv,0.56,0.53,0.47,0.8,0.67,0.67,0.43,0.48,0.2,0.28,0.61,0.58,0.66,0.55,0.65,0.21,0.61
lsb.csv,0.64,0.45,0.44,0.86,0.48,0.64,0.6,0.57,0.75,0.1,0.4,0.41,0.58,0.53,0.66,0.62,0.61
mpgravity.csv,0.43,0.7,0.48,0.32,0.47,0.48,0.13,0.24,0.0,0.81,0.0,0.24,0.0,0.55,0.27,0.56,0.46
qcad2.csv,0.41,0.53,0.36,0.45,0.46,0.47,0.77,0.54,0.69,0.47,0.47,0.3,0.66,0.51,0.59,0.66,0.63
qtwin.csv,0.1,0.0,0.0,0.0,0.0,0.05,0.1,0.47,0.98,0.2,0.33,0.1,0.17,0.44,0.39,0.07,0.0
roller.csv,0.66,0.63,0.09,0.2,0.0,0.0,0.48,0.59,0.33,0.69,0.58,0.32,0.3,0.73,0.0,0.69,0.0
