,ivatamasks.csv,mule.csv,adonthell.csv,libopenmetaverse.csv,decidr.csv,exist.csv,elynx.csv,runuomondains.csv
adonthell.csv,0.89,0.67,0.71,0.49,0.83,0.6,0.02,0.12
decidr.csv,0.8,0.69,0.59,0.47,0.81,0.57,0.02,0.12
exist.csv,0.7,0.61,0.53,0.5,0.58,0.78,0.02,0.11
ivatamasks.csv,0.87,0.67,0.73,0.53,0.69,0.66,0.03,0.14
libopenmetaverse.csv,0.68,0.61,0.52,0.66,0.56,0.56,0.0,0.12
mule.csv,0.78,0.73,0.67,0.51,0.75,0.74,0.0,0.13
runuomondains.csv,0.7,0.69,0.67,0.67,0.61,0.64,0.0,0.39
