,ivatamasks.csv,mule.csv,adonthell.csv,libopenmetaverse.csv,decidr.csv,exist.csv,elynx.csv,runuomondains.csv
adonthell.csv,0.42,0.4,0.67,0.35,0.56,0.4,0.35,0.43
decidr.csv,0.42,0.39,0.47,0.39,0.42,0.34,0.4,0.43
exist.csv,0.45,0.38,0.48,0.38,0.37,0.42,0.34,0.46
ivatamasks.csv,0.38,0.36,0.55,0.4,0.36,0.38,0.43,0.46
libopenmetaverse.csv,0.43,0.38,0.46,0.5,0.35,0.46,0.36,0.76
mule.csv,0.49,0.41,0.95,0.43,0.94,0.77,0.73,0.44
runuomondains.csv,0.44,0.52,0.92,0.89,0.4,0.48,0.0,0.67
