,ivatamasks.csv,mule.csv,adonthell.csv,libopenmetaverse.csv,decidr.csv,exist.csv,elynx.csv,runuomondains.csv
adonthell.csv,0.44,0.6,0.51,1.0,0.56,0.68,1.0,1.0
decidr.csv,0.47,0.57,0.71,0.91,0.36,0.98,0.75,0.97
exist.csv,0.8,0.97,0.84,0.85,0.86,0.37,0.97,0.85
ivatamasks.csv,0.35,0.64,0.48,0.75,0.5,0.57,0.58,0.81
libopenmetaverse.csv,1.0,1.0,0.99,0.52,1.0,0.73,1.28,0.79
mule.csv,0.56,0.49,0.78,0.77,0.78,0.75,1.03,0.93
runuomondains.csv,0.83,0.67,0.87,0.84,0.65,0.65,1.0,0.22
